name	term	lev	seq	value
"unfolded protein binding"	GO:0051082	2	XP_022311330.1	-0.00362087989277661
"unfolded protein binding"	GO:0051082	2	XP_022311839.1	-1.15713040265263
"unfolded protein binding"	GO:0051082	2	XP_022344676.1	0.0457657563193661
"unfolded protein binding"	GO:0051082	2	XP_022344669.1	0.0457657563193661
"unfolded protein binding"	GO:0051082	2	XP_022344660.1	0.0457657563193661
"unfolded protein binding"	GO:0051082	2	XP_022317232.1	-0.599713524945401
"unfolded protein binding"	GO:0051082	2	XP_022318558.1	1.29637289146889
"unfolded protein binding"	GO:0051082	2	XP_022318713.1	-0.14810094034694
"unfolded protein binding"	GO:0051082	2	XP_022318978.1	-0.84278596633401
"unfolded protein binding"	GO:0051082	2	XP_022327789.1	0.913907165716889
"unfolded protein binding"	GO:0051082	2	XP_022327788.1	0.913907165716889
"unfolded protein binding"	GO:0051082	2	XP_022327663.1	-0.947059789334871
"unfolded protein binding"	GO:0051082	2	XP_022327662.1	-0.947059789334871
"unfolded protein binding"	GO:0051082	2	XP_022325679.1	0.30411578846329
"unfolded protein binding"	GO:0051082	2	XP_022325000.1	1.04173654952574
"unfolded protein binding"	GO:0051082	2	XP_022321784.1	1.54563378761417
"unfolded protein binding"	GO:0051082	2	XP_022328027.1	1.38908638387896
"unfolded protein binding"	GO:0051082	2	XP_022326043.1	-0.776570489281012
"unfolded protein binding"	GO:0051082	2	XP_022321927.1	0.00810435789569587
"unfolded protein binding"	GO:0051082	2	XP_022326200.1	0.130332346473141
"unfolded protein binding"	GO:0051082	2	XP_022326244.1	-0.147046809931632
"unfolded protein binding"	GO:0051082	2	XP_022334261.1	0.441255234342746
"unfolded protein binding"	GO:0051082	2	XP_022332467.1	0.676059192513939
"unfolded protein binding"	GO:0051082	2	XP_022335119.1	1.43171846913904
"unfolded protein binding"	GO:0051082	2	XP_022331840.1	0.390154935570973
"unfolded protein binding"	GO:0051082	2	XP_022332033.1	0.00332738304584062
"unfolded protein binding"	GO:0051082	2	XP_022328915.1	-0.264118510932204
"unfolded protein binding"	GO:0051082	2	XP_022332069.1	2.46411753950682
"unfolded protein binding"	GO:0051082	2	XP_022338055.1	3.6180495652587
"unfolded protein binding"	GO:0051082	2	XP_022344705.1	-1.64117729507305
"unfolded protein binding"	GO:0051082	2	XP_022343209.1	-0.0840882089303716
"unfolded protein binding"	GO:0051082	2	XP_022344423.1	-1.07188294265744
"unfolded protein binding"	GO:0051082	2	XP_022288360.1	-0.0158088272405428
"unfolded protein binding"	GO:0051082	2	XP_022287873.1	-0.559461393157522
"unfolded protein binding"	GO:0051082	2	XP_022287875.1	-0.559461393157522
"unfolded protein binding"	GO:0051082	2	XP_022287874.1	-0.559461393157522
"unfolded protein binding"	GO:0051082	2	XP_022286485.1	-0.257734086485823
"unfolded protein binding"	GO:0051082	2	XP_022288463.1	2.16490518890065
"unfolded protein binding"	GO:0051082	2	XP_022286566.1	1.13225074274159
"unfolded protein binding"	GO:0051082	2	XP_022293482.1	-0.512741843729412
"unfolded protein binding"	GO:0051082	2	XP_022292398.1	-0.120150301865464
"unfolded protein binding"	GO:0051082	2	XP_022294447.1	1.09732557415968
"unfolded protein binding"	GO:0051082	2	XP_022297715.1	-0.771526804526059
"unfolded protein binding"	GO:0051082	2	XP_022297716.1	-0.771526804526059
"unfolded protein binding"	GO:0051082	2	XP_022297842.1	0.215362892405867
"unfolded protein binding"	GO:0051082	2	XP_022297841.1	0.215362892405867
"unfolded protein binding"	GO:0051082	2	XP_022296657.1	-0.0170722098052383
"unfolded protein binding"	GO:0051082	2	XP_022306993.1	-0.0410463098285711
"unfolded protein binding"	GO:0051082	2	XP_022306994.1	-0.0410463098285711
"cytoskeletal protein binding"	GO:0008092	3	XP_022305444.1	0.590952637861275
