"delta.rank" "pval" "level" "nseqs" "term" "name" "p.adj"
313 0.0155962598545439 6 132 "GO:0000228" "nuclear chromosome" 0.0363912729939358
-193 0.0323291849694536 2 280 "GO:0005576" "extracellular region" 0.0696320907034385
-570 0.00680231615723204 2 49 "GO:0005615" "extracellular space" 0.0190464852402497
-276 4.75080499202764e-07 2 864 "GO:0005622" "intracellular anatomical structure" 4.4340846592258e-06
26 0.884192578361772 -1 66 "GO:0005623" "obsolete cell" 0.952207392081908
44 0.840475649435095 3 46 "GO:0005635;GO:0031967;GO:0031975" "nuclear envelope" 0.941332727367306
475 1.71785536565897e-06 2 229 "GO:0005654" "nucleoplasm" 1.20249875596128e-05
547 9.74397780569284e-11 3 322 "GO:0005694" "chromosome" 2.72831378559399e-09
194 0.291932234482596 5 64 "GO:0005730" "nucleolus" 0.430215924500668
85 0.172357595507209 2 632 "GO:0005737" "cytoplasm" 0.283883098482462
234 0.00805904569228968 2 293 "GO:0005739" "mitochondrion" 0.0205139344894646
38 0.934732963974036 4 10 "GO:0005764;GO:0000323" "lysosome" 0.969352703380482
353 0.150676777906951 4 36 "GO:0005768" "endosome" 0.263684361337164
88 0.769320779842427 2 24 "GO:0005773" "vacuole" 0.936564427634259
4 0.986918745843756 3 31 "GO:0005777;GO:0042579" "peroxisome" 0.986918745843756
-122 0.245698683546323 2 203 "GO:0005783" "endoplasmic reticulum" 0.382197952183169
-25 0.838434362431982 2 149 "GO:0005794" "Golgi apparatus" 0.941332727367306
164 0.131912899965838 2 189 "GO:0005815" "microtubule organizing center" 0.246237413269564
419 0.0834023460316631 2 37 "GO:0005829" "cytosol" 0.166804692063326
497 1.54073716165551e-07 5 252 "GO:0005840" "ribosome" 2.15703202631771e-06
-30 0.569316834632299 3 917 "GO:0005856" "cytoskeleton" 0.759089112843065
-228 0.000465902762389297 3 569 "GO:0005886;GO:0016020" "plasma membrane" 0.00217421289115005
811 1.30937218585223e-05 3 63 "GO:0005929;GO:0120025;GO:0042995" "plasma membrane bounded cell projection" 7.33248424077249e-05
216 0.596646658196175 3 13 "GO:0016021;GO:0031224" "integral component of membrane" 0.759368474067859
-712 0.000819230978806596 2 48 "GO:0030312" "external encapsulating structure" 0.00286730842582309
-750 0.00064090215216189 2 45 "GO:0031012" "extracellular matrix" 0.00256360860864756
-101 0.386654375789939 3 164 "GO:0031410;GO:0097708;GO:0031982" "cytoplasmic vesicle" 0.541316126105915
-862 0.00492587482668118 3 23 "GO:0034993;GO:0106094;GO:0106083;GO:0098796;GO:0140513" "nuclear membrane microtubule tethering complex" 0.0153249439052303
