"delta.rank" "pval" "level" "nseqs" "term" "name" "p.adj"
85 0.309946627070254 2 1555 "GO:0003676;GO:0097159;GO:1901363" "organic cyclic compound binding" 0.475251494841056
72 0.470893795363034 2 1018 "GO:0003677" "DNA binding" 0.656397411718169
-192 0.176230669664747 2 485 "GO:0003700;GO:0140110" "DNA-binding transcription factor activity" 0.337775450190765
-93 0.505441158077157 2 496 "GO:0003723" "RNA binding" 0.669620622080079
-432 0.423651012132905 5 32 "GO:0003729" "mRNA binding" 0.608998329941051
1314 3.64864081608031e-07 2 141 "GO:0003735" "structural constituent of ribosome" 3.35674955079388e-06
62 0.706533603552612 2 353 "GO:0003924" "GTPase activity" 0.812513644085504
137 0.677298936235347 2 86 "GO:0004386;GO:0140640" "helicase activity" 0.798865411969896
-776 0.000861921574904328 2 174 "GO:0004518" "nuclease activity" 0.0044053769383999
392 0.0319604207228468 1 286 "GO:0005198" "structural molecule activity" 0.122514946104246
143 0.14359131860114 2 1077 "GO:0005515" "protein binding" 0.332479106023163
205 0.119870836824169 3 562 "GO:0008092" "cytoskeletal protein binding" 0.32435638199481
-889 0.293141828441644 3 13 "GO:0008134" "transcription factor binding" 0.464983589941918
1155 0.00468630895401328 3 56 "GO:0008135;GO:0090079;GO:0045182" "translation regulator activity, nucleic acid binding" 0.0215570211884611
360 0.128846847692651 3 168 "GO:0008168;GO:0016741" "methyltransferase activity" 0.329275277436775
-121 0.265996493418696 2 857 "GO:0008233;GO:0140096" "catalytic activity, acting on a protein" 0.464983589941918
-106 0.527988802221096 2 340 "GO:0008289" "lipid binding" 0.669620622080079
-74 0.930580115361577 -1 13 "GO:0008565" "obsolete protein transporter activity" 0.956649423332388
-133 0.155412799110505 3 1185 "GO:0016301" "kinase activity" 0.337775450190765
111 0.277265690887147 2 982 "GO:0016491" "oxidoreductase activity" 0.464983589941918
-287 9.30353259097767e-05 2 2164 "GO:0016740" "transferase activity" 0.000534953123981216
-24 0.925920991703205 3 147 "GO:0016746" "acyltransferase activity" 0.956649423332388
-744 1.09244056584712e-07 2 496 "GO:0016757" "glycosyltransferase activity" 1.25630665072419e-06
-732 0.144556133053549 3 37 "GO:0016765" "transferase activity, transferring alkyl or aryl (other than methyl) groups" 0.332479106023163
-146 0.104094952021029 2 1312 "GO:0016772" "transferase activity, transferring phosphorus-containing groups" 0.299272987060458
-166 0.538607891673107 3 129 "GO:0016779" "nucleotidyltransferase activity" 0.669620622080079
-493 3.54841134021547e-05 3 699 "GO:0016788" "hydrolase activity, acting on ester bonds" 0.000233181316642731
-379 0.00546573334804797 5 525 "GO:0016791;GO:0042578" "phosphatase activity" 0.022856703091837
-267 0.263006381718164 3 166 "GO:0016798" "hydrolase activity, acting on glycosyl bonds" 0.464983589941918
-541 0.0411911017236087 3 134 "GO:0016810" "hydrolase activity, acting on carbon-nitrogen (but not peptide) bonds" 0.145753129175846
311 0.165108934494261 2 188 "GO:0016829" "lyase activity" 0.337775450190765
535 0.0792438038985739 2 101 "GO:0016853" "isomerase activity" 0.260372498523886
1461 1.10307746622768e-08 2 144 "GO:0016874" "ligase activity" 2.06629234772922e-07
1003 1.24933042061808e-09 2 352 "GO:0016887" "ATP hydrolysis activity" 5.74691993484317e-08
551 3.49859292240343e-06 6 705 "GO:0017111;GO:0016462;GO:0016818;GO:0016817" "ribonucleoside triphosphate phosphatase activity" 2.68225457384263e-05
-69 0.945859271767643 2 9 "GO:0019843" "rRNA binding" 0.956649423332388
48 0.737830495069069 2 463 "GO:0019899" "enzyme binding" 0.827809823736029
513 1.34758196591036e-08 2 1295 "GO:0022857;GO:0005215" "transmembrane transporter activity" 2.06629234772922e-07
14 0.923855883676017 2 458 "GO:0030234;GO:0098772" "enzyme regulator activity" 0.956649423332388
-890 0.292723841352671 2 13 "GO:0030674;GO:0060090" "protein-macromolecule adaptor activity" 0.464983589941918
1257 0.0992485096640032 3 16 "GO:0032182" "ubiquitin-like protein binding" 0.299272987060458
1875 0.168990560326252 3 5 "GO:0042393" "histone binding" 0.337775450190765
745 0.517858058933102 4 7 "GO:0046872;GO:0043169" "metal ion binding" 0.669620622080079
35 0.956649423332388 2 23 "GO:0051015;GO:0003779;GO:0044877" "actin filament binding" 0.956649423332388
-446 0.349083148702488 2 41 "GO:0051082" "unfolded protein binding" 0.517994349687563
164 0.617487720720811 1 87 "GO:0140657" "ATP-dependent activity" 0.747485135609403
