delta.rank,pval,level,nseqs,term,name,p.adj
603,0.0107269100881001,3,69,GO:0000278,mitotic cell cycle,0.0561099912300621
-559,8.04365884196911e-4,6,140,GO:0006397;GO:0006396;GO:0016071,RNA processing,0.00683711001567374
537,6.60463624911688e-4,6,157,GO:0006399;GO:0034660,tRNA metabolic process,0.00641593235628497
809,1.62358821529519e-9,4,219,GO:0006412;GO:0034645;GO:0043043;GO:0009059;GO:0044249;GO:1901576;GO:0006518;GO:0043604;GO:1901566;GO:0043603;GO:0044271,macromolecule biosynthetic process,1.10403998640073e-7
214,0.0144865320917265,3,543,GO:0006629,lipid metabolic process,0.0703631558741001
-713,0.00603393457438847,4,57,GO:0006913;GO:0051169,nuclear transport,0.0410307551058416
-256,0.0107041943082634,2,403,GO:0007010,cytoskeleton organization,0.0561099912300621
-540,8.12648387077376e-6,2,271,GO:0007267;GO:0007154;GO:0023052,cell-cell signaling,1.84200301070872e-4
537,0.0194959119345959,2,73,GO:0008283,cell population proliferation,0.0843750743412925
1879,3.21525073186838e-4,2,14,GO:0009790;GO:0007275,embryo development,0.00364395082945083
683,1.02318301038669e-8,2,280,GO:0019538,protein metabolic process,3.47882223531475e-7
575,0.00971980257376521,2,78,GO:0030154;GO:0048869,cell differentiation,0.0561099912300621
724,0.00569562664297237,1,56,GO:0032501,multicellular organismal process,0.0410307551058416
-452,0.0198529586685394,3,103,GO:0034655;GO:0019439;GO:0044270;GO:0046700;GO:1901361;GO:1901575,nucleobase-containing compound catabolic process,0.0843750743412925
578,3.26285428410232e-5,3,203,GO:0042254;GO:0022613;GO:0044085,cellular component biogenesis,5.54685228297394e-4
159,0.0211211287735685,3,926,GO:0043170,macromolecule metabolic process,0.084484515094274
305,1.98782853193994e-4,2,624,GO:0044260,cellular macromolecule metabolic process,0.00270344680343832
363,0.0228457119542343,2,153,GO:0048856,anatomical structure development,0.0863060229382185
