delta.rank,pval,level,nseqs,term,name,p.adj
1337,2.28767020678404e-7,2,141,GO:0003735,structural constituent of ribosome,2.10465659024132e-6
-799,6.03625456698981e-4,3,174,GO:0004518,nuclease activity,0.00308519677868368
407,0.0257516542512599,1,286,GO:0005198,structural molecule activity,0.0987146746298296
1172,0.00408749991111332,4,56,GO:0008135;GO:0090079;GO:0045182,"translation factor activity, RNA binding",0.0170931814464739
-292,6.97248684877696e-5,2,2164,GO:0016740,transferase activity,4.00917993804675e-4
-759,6.14702229094106e-8,2,496,GO:0016757,glycosyltransferase activity,7.06907563458222e-7
-510,1.91380024804137e-5,2,699,GO:0016788,"hydrolase activity, acting on ester bonds",1.25764016299861e-4
-393,0.00396888110380902,4,525,GO:0016791;GO:0042578,phosphatase activity,0.0170931814464739
1458,1.18214792762156e-8,2,144,GO:0016874,ligase activity,2.61060773937828e-7
1025,5.46566205822267e-10,2,352,GO:0016887,ATP hydrolysis activity,2.51420454678243e-8
563,2.18938621995282e-6,3,705,GO:0017111;GO:0016462;GO:0016818;GO:0016817,"hydrolase activity, acting on acid anhydrides, in phosphorus-containing anhydrides",1.67852943529716e-5
510,1.70257026481192e-8,2,1295,GO:0022857;GO:0005215,transmembrane transporter activity,2.61060773937828e-7
