GO:0005975	GO:0006399	GO:0034660	GO:0016070	GO:0090304	GO:0006139	GO:0043170	GO:0006725	GO:0046483	GO:1901360	GO:0006412	GO:0019538	GO:0034645	GO:0043043	GO:0009059	GO:0044249	GO:0044260	GO:0006518	GO:0043604	GO:1901566	GO:0043603	GO:0044271	GO:1901576	GO:0006520	GO:0019752	GO:0043436	GO:0006082	GO:0051186	GO:0034655	GO:0019439	GO:0044270	GO:0046700	GO:1901361	GO:0044248	GO:0009056	GO:1901575	GO:0006397	GO:0006396	GO:0016071	GO:0022618	GO:0065003	GO:0071826	GO:0022607	GO:0043933	GO:0016043	GO:0006259	GO:0006950	GO:0050896	GO:0048856	GO:0032502	GO:0000003	GO:0007005	GO:0006996	GO:0006629	GO:0006091	GO:0030154	GO:0048869	GO:0008283	GO:0000278	GO:0007049	GO:0006457	GO:0040007	GO:0042592	GO:0065008	GO:0007010	GO:0051301	GO:0008219	GO:0007155	GO:0006790	GO:0016192	GO:0050877	GO:0003008	GO:0032501	GO:0007267	GO:0007154	GO:0023052	GO:0071554	GO:0051276	GO:0030705	GO:0046907	GO:0051641	GO:0051649	GO:0006605	GO:0006886	GO:0015031	GO:0045184	GO:0071702	GO:0071705	GO:0008104	GO:0070727	GO:0033036	GO:0006913	GO:0051169	GO:0055085	GO:0002376	GO:0051604	GO:0007059	GO:0048870	GO:0042254	GO:0022613	GO:0044085	GO:0007009	GO:0061024	GO:0006914	GO:0061919	GO:0009790	GO:0007275	GO:0000902	GO:0009653	GO:0040011	GO:0048646	GO:0140014	GO:0000280	GO:1903047	GO:0048285	GO:0022402	GO:0007034	GO:0036211	GO:0043412	GO:0090286
0.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	0.983	0.983	0.983	0.983	0.982	1.000	1.000	1.000	1.000	1.000	1.000	0.873	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	0.862	0.843	1.000	1.000	1.000	1.000	1.000	1.000	1.000	0.977	0.977	1.000	1.000	1.000	1.000	0.982	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000
1.000	0.000	0.000	0.471	0.776	0.796	0.830	0.796	0.796	0.796	0.749	0.804	0.749	0.749	0.749	0.749	0.912	0.749	0.749	0.749	0.749	0.749	0.749	0.948	0.948	0.948	0.948	0.992	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	0.962	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000
1.000	0.000	0.000	0.471	0.776	0.796	0.830	0.796	0.796	0.796	0.749	0.804	0.749	0.749	0.749	0.749	0.912	0.749	0.749	0.749	0.749	0.749	0.749	0.948	0.948	0.948	0.948	0.992	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	0.962	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000
1.000	0.471	0.471	0.000	0.576	0.614	0.679	0.614	0.614	0.614	0.815	0.815	0.815	0.815	0.815	0.815	0.910	0.815	0.815	0.815	0.815	0.815	0.815	0.947	0.947	0.947	0.947	0.993	0.980	0.980	0.980	0.980	0.980	0.980	0.992	0.980	0.529	0.529	0.529	0.879	0.883	0.879	0.920	0.883	0.967	0.998	0.998	0.998	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	0.997	0.997	1.000	1.000	1.000	1.000	0.980	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	0.993	0.993	0.993	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	0.993	0.993	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000
1.000	0.776	0.776	0.576	0.000	0.088	0.243	0.088	0.088	0.088	0.922	0.922	0.922	0.922	0.922	0.922	0.344	0.922	0.922	0.922	0.922	0.922	0.922	0.945	0.945	0.945	0.945	0.997	0.950	0.950	0.950	0.950	0.950	0.950	0.949	0.950	0.800	0.800	0.800	0.949	0.944	0.949	0.943	0.944	0.912	0.422	0.615	0.615	1.000	1.000	0.984	0.999	0.925	1.000	1.000	1.000	1.000	1.000	0.994	0.970	1.000	1.000	0.944	0.944	0.999	0.996	0.993	0.999	0.990	0.999	1.000	1.000	1.000	0.999	0.999	0.999	1.000	0.919	1.000	0.997	0.997	0.997	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	0.997	0.997	1.000	0.999	1.000	0.987	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	0.997	0.997	0.997	0.997	0.997	1.000	1.000	1.000	1.000
1.000	0.796	0.796	0.614	0.088	0.000	0.241	0.000	0.000	0.000	0.926	0.926	0.926	0.926	0.926	0.926	0.399	0.926	0.926	0.926	0.926	0.926	0.926	0.942	0.942	0.942	0.942	0.993	0.866	0.866	0.866	0.866	0.866	0.866	0.863	0.866	0.818	0.818	0.818	0.953	0.949	0.953	0.948	0.949	0.912	0.473	0.649	0.649	1.000	1.000	0.986	0.999	0.925	1.000	1.000	1.000	1.000	1.000	0.995	0.973	1.000	1.000	0.949	0.949	0.999	0.996	0.993	0.999	0.988	0.999	1.000	1.000	1.000	0.999	0.999	0.999	1.000	0.926	1.000	0.997	0.997	0.997	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	0.997	0.997	1.000	0.999	1.000	0.988	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	0.997	0.997	0.997	0.997	0.997	1.000	1.000	1.000	1.000
1.000	0.830	0.830	0.679	0.243	0.241	0.000	0.241	0.241	0.241	0.763	0.698	0.763	0.763	0.763	0.763	0.326	0.763	0.763	0.763	0.763	0.763	0.763	0.944	0.944	0.944	0.944	0.998	0.960	0.960	0.960	0.960	0.960	0.960	0.957	0.960	0.849	0.849	0.849	0.961	0.957	0.961	0.956	0.957	0.905	0.563	0.708	0.708	0.998	0.998	0.988	0.992	0.931	0.999	1.000	1.000	1.000	1.000	0.996	0.977	1.000	1.000	0.958	0.958	0.999	0.997	0.995	0.999	0.992	0.999	1.000	0.999	0.999	0.997	0.997	0.997	1.000	0.938	1.000	0.990	0.990	0.990	0.992	0.992	0.992	0.992	0.992	0.992	0.992	0.992	0.992	0.998	0.998	1.000	0.999	0.940	0.990	1.000	0.860	0.860	0.860	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	0.998	0.998	0.998	0.998	0.998	1.000	0.995	0.995	1.000
1.000	0.796	0.796	0.614	0.088	0.000	0.241	0.000	0.000	0.000	0.926	0.926	0.926	0.926	0.926	0.926	0.399	0.926	0.926	0.926	0.926	0.926	0.926	0.942	0.942	0.942	0.942	0.993	0.866	0.866	0.866	0.866	0.866	0.866	0.863	0.866	0.818	0.818	0.818	0.953	0.949	0.953	0.948	0.949	0.912	0.473	0.649	0.649	1.000	1.000	0.986	0.999	0.925	1.000	1.000	1.000	1.000	1.000	0.995	0.973	1.000	1.000	0.949	0.949	0.999	0.996	0.993	0.999	0.988	0.999	1.000	1.000	1.000	0.999	0.999	0.999	1.000	0.926	1.000	0.997	0.997	0.997	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	0.997	0.997	1.000	0.999	1.000	0.988	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	0.997	0.997	0.997	0.997	0.997	1.000	1.000	1.000	1.000
1.000	0.796	0.796	0.614	0.088	0.000	0.241	0.000	0.000	0.000	0.926	0.926	0.926	0.926	0.926	0.926	0.399	0.926	0.926	0.926	0.926	0.926	0.926	0.942	0.942	0.942	0.942	0.993	0.866	0.866	0.866	0.866	0.866	0.866	0.863	0.866	0.818	0.818	0.818	0.953	0.949	0.953	0.948	0.949	0.912	0.473	0.649	0.649	1.000	1.000	0.986	0.999	0.925	1.000	1.000	1.000	1.000	1.000	0.995	0.973	1.000	1.000	0.949	0.949	0.999	0.996	0.993	0.999	0.988	0.999	1.000	1.000	1.000	0.999	0.999	0.999	1.000	0.926	1.000	0.997	0.997	0.997	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	0.997	0.997	1.000	0.999	1.000	0.988	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	0.997	0.997	0.997	0.997	0.997	1.000	1.000	1.000	1.000
1.000	0.796	0.796	0.614	0.088	0.000	0.241	0.000	0.000	0.000	0.926	0.926	0.926	0.926	0.926	0.926	0.399	0.926	0.926	0.926	0.926	0.926	0.926	0.942	0.942	0.942	0.942	0.993	0.866	0.866	0.866	0.866	0.866	0.866	0.863	0.866	0.818	0.818	0.818	0.953	0.949	0.953	0.948	0.949	0.912	0.473	0.649	0.649	1.000	1.000	0.986	0.999	0.925	1.000	1.000	1.000	1.000	1.000	0.995	0.973	1.000	1.000	0.949	0.949	0.999	0.996	0.993	0.999	0.988	0.999	1.000	1.000	1.000	0.999	0.999	0.999	1.000	0.926	1.000	0.997	0.997	0.997	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	0.997	0.997	1.000	0.999	1.000	0.988	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	0.997	0.997	0.997	0.997	0.997	1.000	1.000	1.000	1.000
