GO:0048870	GO:0007267;GO:0007154;GO:0023052	GO:0009056	GO:0016192	GO:0051301	GO:0006913;GO:0051169	GO:0071554	GO:0006914;GO:0061919	GO:0048646	GO:0009790;GO:0007275	GO:0006605;GO:0006886;GO:0015031;GO:0045184;GO:0071702;GO:0071705;GO:0008104;GO:0070727;GO:0033036	GO:0046907;GO:0051641;GO:0051649	GO:0006139;GO:0006725;GO:0046483;GO:1901360	GO:0090304	GO:0000278	GO:0007034	GO:0016070	GO:0051186	GO:0006520;GO:0019752;GO:0043436;GO:0006082	GO:0040011	GO:0008283	GO:0022607	GO:0022618;GO:0071826	GO:0008219	GO:0042592;GO:0065008	GO:0006397;GO:0006396;GO:0016071	GO:0005975	GO:0055085	GO:0003008	GO:0006950;GO:0050896	GO:0019538	GO:0006399;GO:0034660	GO:0006629	GO:0030154;GO:0048869	GO:0000902;GO:0009653	GO:0016567;GO:0032446;GO:0070647	GO:0007049	GO:0043170	GO:0090286	GO:0042254;GO:0022613;GO:0044085	GO:0048856	GO:0050877	GO:0034655;GO:0019439;GO:0044270;GO:0046700;GO:1901361;GO:1901575	GO:0044248	GO:0032501	GO:0016043	GO:0006457	GO:0006091	GO:0006259	GO:0002376	GO:0007009	GO:0036211;GO:0043412	GO:0007010	GO:0032502	GO:0006996	GO:0006790	GO:0007155	GO:0044260	GO:0030705	GO:0140014;GO:0000280;GO:1903047;GO:0048285;GO:0022402	GO:0000003	GO:0051604	GO:0040007	GO:0061024	GO:0007059	GO:0051276	GO:0006412;GO:0034645;GO:0043043;GO:0009059;GO:0044249;GO:1901576;GO:0006518;GO:0043604;GO:1901566;GO:0043603;GO:0044271	GO:0007005	GO:0065003;GO:0043933
0	0.946	1.000	0.973	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	0.919	1.000	1.000	1.000	1.000	1.000	1.000	0.865	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	0.865	0.973	1.000	0.919	1.000	1.000	1.000	0.892	1.000	1.000	1.000	1.000	0.676	1.000	1.000	1.000	1.000	1.000	1.000	0.676	0.865	0.676	1.000	0.973	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	0.946
0.946	0	0.997	0.944	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	0.997	0.997	1.000	1.000	1.000	1.000	1.000	0.667	1.000	0.993	1.000	1.000	0.995	1.000	1.000	0.974	0.951	1.000	0.993	1.000	0.997	0.976	1.000	1.000	0.997	0.990	1.000	1.000	0.765	0.950	1.000	1.000	0.964	0.977	1.000	1.000	0.997	1.000	1.000	1.000	0.980	0.862	0.977	1.000	1.000	0.997	1.000	1.000	1.000	0.966	1.000	1.000	1.000	0.997	1.000	0.993	1.000
1.000	0.997	0	0.988	0.984	1.000	0.500	0.000	1.000	1.000	1.000	1.000	0.849	0.950	0.974	1.000	0.978	0.752	0.848	1.000	1.000	0.985	1.000	0.997	0.958	0.954	0.785	1.000	1.000	0.964	0.991	1.000	0.673	1.000	1.000	1.000	0.987	0.946	1.000	1.000	0.994	1.000	0.000	0.000	1.000	0.866	1.000	0.719	0.928	0.980	1.000	1.000	1.000	0.997	0.873	0.848	1.000	0.950	1.000	0.947	1.000	1.000	1.000	1.000	0.972	0.949	0.989	0.386	1.000
0.973	0.944	0.988	0	0.944	1.000	1.000	0.838	0.927	1.000	1.000	1.000	0.998	0.998	0.935	1.000	1.000	1.000	0.975	1.000	0.886	0.945	1.000	1.000	0.995	1.000	1.000	1.000	1.000	0.996	1.000	1.000	0.990	0.988	0.979	1.000	0.976	0.998	1.000	1.000	1.000	1.000	1.000	0.962	1.000	0.932	1.000	1.000	0.998	1.000	1.000	1.000	0.967	0.984	0.969	1.000	0.998	0.998	1.000	1.000	1.000	1.000	0.862	0.763	1.000	1.000	1.000	1.000	0.941
1.000	1.000	0.984	0.944	0	1.000	1.000	0.946	1.000	1.000	1.000	0.984	0.960	0.960	0.494	1.000	1.000	1.000	0.992	1.000	1.000	0.904	1.000	0.920	1.000	1.000	1.000	1.000	1.000	0.968	1.000	1.000	1.000	1.000	1.000	1.000	0.160	0.960	1.000	1.000	1.000	1.000	1.000	0.984	1.000	0.840	1.000	1.000	0.960	1.000	1.000	1.000	0.840	1.000	0.840	1.000	1.000	0.960	0.957	1.000	1.000	1.000	1.000	1.000	0.875	1.000	1.000	1.000	1.000
1.000	1.000	1.000	1.000	1.000	0	1.000	1.000	1.000	1.000	1.000	0.000	0.968	0.968	1.000	1.000	0.968	1.000	1.000	1.000	1.000	0.984	1.000	1.000	1.000	0.968	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	0.968	1.000	0.968	1.000	1.000	1.000	1.000	1.000	0.968	1.000	1.000	1.000	1.000	1.000	1.000	0.984	1.000	0.984	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	0.984
1.000	1.000	0.500	1.000	1.000	1.000	0	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	0.542	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	0.875	1.000	1.000	0.958	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	0.875	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000
1.000	1.000	0.000	0.838	0.946	1.000	1.000	0	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	0.784	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	0.946	1.000	1.000	1.000	1.000	1.000	1.000	0.000	1.000	0.784	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	0.946	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	0.946	1.000
1.000	1.000	1.000	0.927	1.000	1.000	1.000	1.000	0	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	0.982	1.000	1.000	0.982	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	0.982	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	0.000	1.000	1.000	0.964	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000
1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	0	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	0.000	1.000	1.000	1.000	0.000	0.217	1.000	1.000	1.000	1.000	1.000	1.000	0.217	0.000	0.217	1.000	0.217	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000
