GO:0005737	GO:0005623	GO:0005768	GO:0005777;GO:0042579	GO:0005739	GO:0005615	GO:0005694	GO:0005783	GO:0000228	GO:0005622	GO:0030312	GO:0005635;GO:0031967;GO:0031975	GO:0005773	GO:0031410;GO:0097708;GO:0031982	GO:0005730	GO:0005576	GO:0005764;GO:0000323	GO:0034993;GO:0106094;GO:0106083;GO:0098796;GO:0140513	GO:0005840	GO:0005794	GO:0005856	GO:0005829	GO:0016021;GO:0031224	GO:0005654	GO:0005929;GO:0120025;GO:0042995	GO:0031012	GO:0005815	GO:0005886;GO:0016020	GO:0005634
0	1.000	1.000	1.000	1.000	1.000	1.000	0.351	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	0.885	1.000	1.000	0.995	0.574	1.000	0.820	0.998	0.920
1.000	0	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	0.722	1.000	1.000	1.000	1.000
1.000	1.000	0	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	0.000	1.000	1.000	1.000	1.000	1.000	0.759	0.966	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000
1.000	1.000	1.000	0	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000
1.000	1.000	1.000	1.000	0	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	0.890	1.000	1.000	0.968	1.000	1.000	1.000	1.000	1.000	1.000	1.000
1.000	1.000	1.000	1.000	1.000	0	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000
1.000	1.000	1.000	1.000	1.000	1.000	0	1.000	0.000	1.000	1.000	1.000	1.000	1.000	0.857	1.000	1.000	1.000	1.000	1.000	0.993	1.000	1.000	0.881	1.000	1.000	1.000	0.996	0.824
0.351	1.000	1.000	1.000	1.000	1.000	1.000	0	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	0.953	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000
1.000	1.000	1.000	1.000	1.000	1.000	0.000	1.000	0	1.000	1.000	1.000	1.000	1.000	0.982	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	0.784	1.000	1.000	1.000	0.990	1.000
1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	0	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	0.917	1.000	1.000	1.000	1.000	0.998	1.000
1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	0	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	0.000	1.000	0.955	1.000
1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	0	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	0.977	1.000	1.000	1.000	1.000	1.000
1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	0	1.000	1.000	1.000	0.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	0.952	1.000
1.000	1.000	0.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	0	1.000	1.000	1.000	1.000	1.000	0.795	0.993	0.968	1.000	1.000	1.000	1.000	1.000	0.945	1.000
1.000	1.000	1.000	1.000	1.000	1.000	0.857	1.000	0.982	1.000	1.000	1.000	1.000	1.000	0	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	0.964	1.000	1.000	1.000	0.982	1.000
1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	0	1.000	1.000	1.000	1.000	0.996	1.000	1.000	1.000	1.000	1.000	1.000	0.992	1.000
1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	0.000	1.000	1.000	1.000	0	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	0.875	1.000
1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	0	1.000	1.000	1.000	1.000	0.167	1.000	1.000	1.000	1.000	1.000	1.000
1.000	1.000	1.000	1.000	0.890	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	0	1.000	1.000	0.968	1.000	1.000	1.000	1.000	1.000	1.000	1.000
1.000	1.000	0.759	1.000	1.000	1.000	1.000	0.953	1.000	1.000	1.000	1.000	1.000	0.795	1.000	1.000	1.000	1.000	1.000	0	1.000	1.000	1.000	0.992	1.000	1.000	1.000	0.953	1.000
0.885	1.000	0.966	1.000	1.000	1.000	0.993	1.000	1.000	1.000	1.000	1.000	1.000	0.993	1.000	0.996	1.000	1.000	1.000	1.000	0	1.000	1.000	1.000	0.537	1.000	1.000	0.974	1.000
1.000	1.000	1.000	1.000	0.968	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	0.968	1.000	1.000	1.000	1.000	0.968	1.000	1.000	0	1.000	1.000	1.000	1.000	1.000	0.968	0.839
1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	0.917	1.000	1.000	1.000	1.000	1.000	1.000	1.000	0.167	1.000	1.000	1.000	1.000	0	1.000	1.000	1.000	1.000	1.000	1.000
0.995	1.000	1.000	1.000	1.000	1.000	0.881	1.000	0.784	1.000	1.000	0.977	1.000	1.000	0.964	1.000	1.000	1.000	1.000	0.992	1.000	1.000	1.000	0	1.000	1.000	1.000	1.000	1.000
0.574	0.722	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	0.537	1.000	1.000	1.000	0	1.000	0.796	1.000	1.000
1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	0.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	0	1.000	0.951	1.000
0.820	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	0.796	1.000	0	1.000	0.977
