name	term	lev	seq	value
"external encapsulating structure"	GO:0030312;GO:0031012	2	LOC111102833	0
"external encapsulating structure"	GO:0030312;GO:0031012	2	LOC111102987	0
"external encapsulating structure"	GO:0030312;GO:0031012	2	LOC111108171	0
"external encapsulating structure"	GO:0030312;GO:0031012	2	LOC111118371	0
"external encapsulating structure"	GO:0030312;GO:0031012	2	LOC111118558	1
"external encapsulating structure"	GO:0030312;GO:0031012	2	LOC111118864	0
"external encapsulating structure"	GO:0030312;GO:0031012	2	LOC111118864	0
"external encapsulating structure"	GO:0030312;GO:0031012	2	LOC111119559	0
"external encapsulating structure"	GO:0030312;GO:0031012	2	LOC111120068	0
"external encapsulating structure"	GO:0030312;GO:0031012	2	LOC111120390	0
"external encapsulating structure"	GO:0030312;GO:0031012	2	LOC111120394	0
"external encapsulating structure"	GO:0030312;GO:0031012	2	LOC111120559	0
"external encapsulating structure"	GO:0030312;GO:0031012	2	LOC111121165	0
"external encapsulating structure"	GO:0030312;GO:0031012	2	LOC111121200	0
"external encapsulating structure"	GO:0030312;GO:0031012	2	LOC111121411	0
"external encapsulating structure"	GO:0030312;GO:0031012	2	LOC111125647	0
"external encapsulating structure"	GO:0030312;GO:0031012	2	LOC111126774	0
"external encapsulating structure"	GO:0030312;GO:0031012	2	LOC111128599	0
"external encapsulating structure"	GO:0030312;GO:0031012	2	LOC111130331	0
"external encapsulating structure"	GO:0030312;GO:0031012	2	LOC111130568	0
"external encapsulating structure"	GO:0030312;GO:0031012	2	LOC111136991	0
"external encapsulating structure"	GO:0030312;GO:0031012	2	LOC111137450	0
"extracellular space"	GO:0005615	2	LOC111103287	0
"extracellular space"	GO:0005615	2	LOC111106284	0
"extracellular space"	GO:0005615	2	LOC111107422	0
"extracellular space"	GO:0005615	2	LOC111108180	0
"extracellular space"	GO:0005615	2	LOC111108253	0
"extracellular space"	GO:0005615	2	LOC111120232	0
"extracellular space"	GO:0005615	2	LOC111128531	0
"extracellular space"	GO:0005615	2	LOC111130380	0
"extracellular space"	GO:0005615	2	LOC111130703	0
"extracellular space"	GO:0005615	2	LOC111134145	0
"extracellular space"	GO:0005615	2	LOC111134572	0
"nucleolus"	GO:0005730	3	LOC111099864	0
"nucleolus"	GO:0005730	3	LOC111103287	0
"nucleolus"	GO:0005730	3	LOC111104803	0
"nucleolus"	GO:0005730	3	LOC111105250	0
"nucleolus"	GO:0005730	3	LOC111105251	0
"nucleolus"	GO:0005730	3	LOC111107528	0
"nucleolus"	GO:0005730	3	LOC111108692	0
"nucleolus"	GO:0005730	3	LOC111108692	0
"nucleolus"	GO:0005730	3	LOC111108729	0
"nucleolus"	GO:0005730	3	LOC111112550	0
"nucleolus"	GO:0005730	3	LOC111113216	0
"nucleolus"	GO:0005730	3	LOC111118411	0
"nucleolus"	GO:0005730	3	LOC111119138	0
"nucleolus"	GO:0005730	3	LOC111120507	0
"nucleolus"	GO:0005730	3	LOC111120507	0
"nucleolus"	GO:0005730	3	LOC111125134	1
"nucleolus"	GO:0005730	3	LOC111127020	0
"nucleolus"	GO:0005730	3	LOC111127723	0
"nucleolus"	GO:0005730	3	LOC111129080	0
"nucleolus"	GO:0005730	3	LOC111131100	0
"nucleolus"	GO:0005730	3	LOC111131100	0
"nucleolus"	GO:0005730	3	LOC111131100	0
"nucleolus"	GO:0005730	3	LOC111131116	0
"nucleolus"	GO:0005730	3	LOC111132028	0
"nucleolus"	GO:0005730	3	LOC111133940	0
"nucleolus"	GO:0005730	3	LOC111134031	0
"nucleolus"	GO:0005730	3	LOC111134031	0
"nucleolus"	GO:0005730	3	LOC111134031	0
"nucleolus"	GO:0005730	3	LOC111135382	0
"nucleolus"	GO:0005730	3	LOC111137525	0
"nucleolus"	GO:0005730	3	LOC111138302	0
"nucleoplasm"	GO:0005654	2	LOC111099040	1
"nucleoplasm"	GO:0005654	2	LOC111100089	0
"nucleoplasm"	GO:0005654	2	LOC111102987	0
"nucleoplasm"	GO:0005654	2	LOC111103048	0
"nucleoplasm"	GO:0005654	2	LOC111103596	0
"nucleoplasm"	GO:0005654	2	LOC111104697	0
"nucleoplasm"	GO:0005654	2	LOC111104835	1
"nucleoplasm"	GO:0005654	2	LOC111104835	1
"nucleoplasm"	GO:0005654	2	LOC111105905	0
"nucleoplasm"	GO:0005654	2	LOC111107284	0
"nucleoplasm"	GO:0005654	2	LOC111108692	0
"nucleoplasm"	GO:0005654	2	LOC111110504	0
"nucleoplasm"	GO:0005654	2	LOC111110504	0
"nucleoplasm"	GO:0005654	2	LOC111110554	0
"nucleoplasm"	GO:0005654	2	LOC111110976	0
"nucleoplasm"	GO:0005654	2	LOC111110976	0
"nucleoplasm"	GO:0005654	2	LOC111111287	0
"nucleoplasm"	GO:0005654	2	LOC111111582	0
"nucleoplasm"	GO:0005654	2	LOC111112699	0
"nucleoplasm"	GO:0005654	2	LOC111112793	0
"nucleoplasm"	GO:0005654	2	LOC111112938	0
"nucleoplasm"	GO:0005654	2	LOC111114714	1
"nucleoplasm"	GO:0005654	2	LOC111115993	0
"nucleoplasm"	GO:0005654	2	LOC111116101	0
"nucleoplasm"	GO:0005654	2	LOC111116102	0
"nucleoplasm"	GO:0005654	2	LOC111118301	0
"nucleoplasm"	GO:0005654	2	LOC111118363	1
"nucleoplasm"	GO:0005654	2	LOC111119669	0
"nucleoplasm"	GO:0005654	2	LOC111119704	0
