name	term	lev	seq	value
"DNA binding"	GO:0003677	4	LOC111099182	0
"DNA binding"	GO:0003677	4	LOC111099183	0
"DNA binding"	GO:0003677	4	LOC111099196	0
"DNA binding"	GO:0003677	4	LOC111099216	0
"DNA binding"	GO:0003677	4	LOC111099854	0
"DNA binding"	GO:0003677	4	LOC111100154	1
"DNA binding"	GO:0003677	4	LOC111100273	0
"DNA binding"	GO:0003677	4	LOC111100275	0
"DNA binding"	GO:0003677	4	LOC111100634	0
"DNA binding"	GO:0003677	4	LOC111100876	0
"DNA binding"	GO:0003677	4	LOC111101021	0
"DNA binding"	GO:0003677	4	LOC111101124	0
"DNA binding"	GO:0003677	4	LOC111101138	0
"DNA binding"	GO:0003677	4	LOC111101157	0
"DNA binding"	GO:0003677	4	LOC111101163	0
"DNA binding"	GO:0003677	4	LOC111101261	0
"DNA binding"	GO:0003677	4	LOC111101261	0
"DNA binding"	GO:0003677	4	LOC111101588	0
"DNA binding"	GO:0003677	4	LOC111101751	0
"DNA binding"	GO:0003677	4	LOC111101828	0
"DNA binding"	GO:0003677	4	LOC111101853	0
"DNA binding"	GO:0003677	4	LOC111102030	0
"DNA binding"	GO:0003677	4	LOC111102109	0
"DNA binding"	GO:0003677	4	LOC111102281	0
"DNA binding"	GO:0003677	4	LOC111102386	0
"DNA binding"	GO:0003677	4	LOC111102426	0
"DNA binding"	GO:0003677	4	LOC111102495	0
"DNA binding"	GO:0003677	4	LOC111102495	0
"DNA binding"	GO:0003677	4	LOC111102545	0
"DNA binding"	GO:0003677	4	LOC111102614	1
"DNA binding"	GO:0003677	4	LOC111102662	0
"DNA binding"	GO:0003677	4	LOC111102731	0
"DNA binding"	GO:0003677	4	LOC111102770	0
"DNA binding"	GO:0003677	4	LOC111102991	0
"DNA binding"	GO:0003677	4	LOC111103073	0
"DNA binding"	GO:0003677	4	LOC111103116	1
"DNA binding"	GO:0003677	4	LOC111103244	0
"DNA binding"	GO:0003677	4	LOC111103287	0
"DNA binding"	GO:0003677	4	LOC111103287	0
"DNA binding"	GO:0003677	4	LOC111103375	0
"DNA binding"	GO:0003677	4	LOC111103655	0
"DNA binding"	GO:0003677	4	LOC111103901	0
"DNA binding"	GO:0003677	4	LOC111104063	0
"DNA binding"	GO:0003677	4	LOC111104074	0
"DNA binding"	GO:0003677	4	LOC111104223	0
"DNA binding"	GO:0003677	4	LOC111104479	0
"DNA binding"	GO:0003677	4	LOC111104697	0
"DNA binding"	GO:0003677	4	LOC111104713	0
"DNA binding"	GO:0003677	4	LOC111104803	0
"DNA binding"	GO:0003677	4	LOC111104835	1
"DNA binding"	GO:0003677	4	LOC111104835	1
"DNA binding"	GO:0003677	4	LOC111104835	1
"DNA binding"	GO:0003677	4	LOC111105250	0
"DNA binding"	GO:0003677	4	LOC111105251	0
"DNA binding"	GO:0003677	4	LOC111105304	0
"DNA binding"	GO:0003677	4	LOC111106043	0
"DNA binding"	GO:0003677	4	LOC111106044	0
"DNA binding"	GO:0003677	4	LOC111106142	0
"DNA binding"	GO:0003677	4	LOC111106225	0
"DNA binding"	GO:0003677	4	LOC111106458	0
"DNA binding"	GO:0003677	4	LOC111106702	0
"DNA binding"	GO:0003677	4	LOC111106822	0
"DNA binding"	GO:0003677	4	LOC111107284	0
"DNA binding"	GO:0003677	4	LOC111107328	0
"DNA binding"	GO:0003677	4	LOC111107518	0
"DNA binding"	GO:0003677	4	LOC111107528	0
"DNA binding"	GO:0003677	4	LOC111107854	0
"DNA binding"	GO:0003677	4	LOC111108006	0
"DNA binding"	GO:0003677	4	LOC111108089	0
"DNA binding"	GO:0003677	4	LOC111108150	0
"DNA binding"	GO:0003677	4	LOC111108534	0
"DNA binding"	GO:0003677	4	LOC111108536	0
"DNA binding"	GO:0003677	4	LOC111108567	0
"DNA binding"	GO:0003677	4	LOC111108569	0
"DNA binding"	GO:0003677	4	LOC111108572	0
"DNA binding"	GO:0003677	4	LOC111108664	0
"DNA binding"	GO:0003677	4	LOC111108664	0
"DNA binding"	GO:0003677	4	LOC111108692	0
"DNA binding"	GO:0003677	4	LOC111108692	0
"DNA binding"	GO:0003677	4	LOC111108711	0
"DNA binding"	GO:0003677	4	LOC111108729	0
"DNA binding"	GO:0003677	4	LOC111108813	0
"DNA binding"	GO:0003677	4	LOC111109022	0
"DNA binding"	GO:0003677	4	LOC111109511	1
"DNA binding"	GO:0003677	4	LOC111109993	0
"DNA binding"	GO:0003677	4	LOC111109993	0
"DNA binding"	GO:0003677	4	LOC111110089	0
"DNA binding"	GO:0003677	4	LOC111110124	0
"DNA binding"	GO:0003677	4	LOC111110179	0
"DNA binding"	GO:0003677	4	LOC111110185	0
"DNA binding"	GO:0003677	4	LOC111110192	0
"DNA binding"	GO:0003677	4	LOC111110431	1
"DNA binding"	GO:0003677	4	LOC111110504	0
"DNA binding"	GO:0003677	4	LOC111110863	1
"DNA binding"	GO:0003677	4	LOC111111056	0
"DNA binding"	GO:0003677	4	LOC111111225	0
"DNA binding"	GO:0003677	4	LOC111111362	0
"DNA binding"	GO:0003677	4	LOC111111616	0
"DNA binding"	GO:0003677	4	LOC111112028	0
"DNA binding"	GO:0003677	4	LOC111112086	0
"DNA binding"	GO:0003677	4	LOC111112099	1
"DNA binding"	GO:0003677	4	LOC111112099	1
"DNA binding"	GO:0003677	4	LOC111112130	0
"DNA binding"	GO:0003677	4	LOC111112216	0
"DNA binding"	GO:0003677	4	LOC111112433	0
"DNA binding"	GO:0003677	4	LOC111112466	0
"DNA binding"	GO:0003677	4	LOC111112466	0
"DNA binding"	GO:0003677	4	LOC111112488	0
"DNA binding"	GO:0003677	4	LOC111112489	0
"DNA binding"	GO:0003677	4	LOC111112494	0
"DNA binding"	GO:0003677	4	LOC111112614	0
"DNA binding"	GO:0003677	4	LOC111112627	1
"DNA binding"	GO:0003677	4	LOC111112752	0
"DNA binding"	GO:0003677	4	LOC111112761	0
"DNA binding"	GO:0003677	4	LOC111112863	0
"DNA binding"	GO:0003677	4	LOC111112947	0
"DNA binding"	GO:0003677	4	LOC111112948	0
"DNA binding"	GO:0003677	4	LOC111112991	0
"DNA binding"	GO:0003677	4	LOC111113002	0
"DNA binding"	GO:0003677	4	LOC111113100	1
"DNA binding"	GO:0003677	4	LOC111113216	0
"DNA binding"	GO:0003677	4	LOC111113248	0
"DNA binding"	GO:0003677	4	LOC111113322	0
"DNA binding"	GO:0003677	4	LOC111113366	0
"DNA binding"	GO:0003677	4	LOC111114230	0
"DNA binding"	GO:0003677	4	LOC111114492	1
"DNA binding"	GO:0003677	4	LOC111114829	0
"DNA binding"	GO:0003677	4	LOC111114908	0
"DNA binding"	GO:0003677	4	LOC111114931	0
"DNA binding"	GO:0003677	4	LOC111115058	0
"DNA binding"	GO:0003677	4	LOC111115123	0
"DNA binding"	GO:0003677	4	LOC111115795	1
"DNA binding"	GO:0003677	4	LOC111115795	1
"DNA binding"	GO:0003677	4	LOC111116059	0
"DNA binding"	GO:0003677	4	LOC111116077	0
"DNA binding"	GO:0003677	4	LOC111116214	0
"DNA binding"	GO:0003677	4	LOC111116352	1
"DNA binding"	GO:0003677	4	LOC111116352	1
"DNA binding"	GO:0003677	4	LOC111116352	1
"DNA binding"	GO:0003677	4	LOC111116352	1
"DNA binding"	GO:0003677	4	LOC111116352	1
"DNA binding"	GO:0003677	4	LOC111117431	0
"DNA binding"	GO:0003677	4	LOC111117496	0
"DNA binding"	GO:0003677	4	LOC111117924	1
"DNA binding"	GO:0003677	4	LOC111117928	0
"DNA binding"	GO:0003677	4	LOC111118026	1
"DNA binding"	GO:0003677	4	LOC111118150	0
"DNA binding"	GO:0003677	4	LOC111118247	0
"DNA binding"	GO:0003677	4	LOC111118300	1
"DNA binding"	GO:0003677	4	LOC111118359	0
"DNA binding"	GO:0003677	4	LOC111118362	0
"DNA binding"	GO:0003677	4	LOC111118371	0
"DNA binding"	GO:0003677	4	LOC111118371	0
"DNA binding"	GO:0003677	4	LOC111118413	0
"DNA binding"	GO:0003677	4	LOC111118462	0
"DNA binding"	GO:0003677	4	LOC111118494	0
"DNA binding"	GO:0003677	4	LOC111118602	0
"DNA binding"	GO:0003677	4	LOC111118858	1
"DNA binding"	GO:0003677	4	LOC111118932	0
"DNA binding"	GO:0003677	4	LOC111118959	0
"DNA binding"	GO:0003677	4	LOC111118994	0
"DNA binding"	GO:0003677	4	LOC111119161	0
"DNA binding"	GO:0003677	4	LOC111119171	0
"DNA binding"	GO:0003677	4	LOC111119181	0
"DNA binding"	GO:0003677	4	LOC111119181	0
"DNA binding"	GO:0003677	4	LOC111119192	0
"DNA binding"	GO:0003677	4	LOC111119198	0
"DNA binding"	GO:0003677	4	LOC111119203	0
"DNA binding"	GO:0003677	4	LOC111119207	0
"DNA binding"	GO:0003677	4	LOC111119213	0
"DNA binding"	GO:0003677	4	LOC111119214	1
"DNA binding"	GO:0003677	4	LOC111119222	0
"DNA binding"	GO:0003677	4	LOC111119230	0
"DNA binding"	GO:0003677	4	LOC111119350	0
"DNA binding"	GO:0003677	4	LOC111119359	0
"DNA binding"	GO:0003677	4	LOC111119382	1
"DNA binding"	GO:0003677	4	LOC111119401	0
"DNA binding"	GO:0003677	4	LOC111119421	0
"DNA binding"	GO:0003677	4	LOC111119421	0
"DNA binding"	GO:0003677	4	LOC111119431	0
"DNA binding"	GO:0003677	4	LOC111119449	0
"DNA binding"	GO:0003677	4	LOC111119469	0
"DNA binding"	GO:0003677	4	LOC111119539	0
"DNA binding"	GO:0003677	4	LOC111119560	0
"DNA binding"	GO:0003677	4	LOC111119561	0
"DNA binding"	GO:0003677	4	LOC111119571	0
"DNA binding"	GO:0003677	4	LOC111119586	0
"DNA binding"	GO:0003677	4	LOC111119594	0
"DNA binding"	GO:0003677	4	LOC111119678	0
"DNA binding"	GO:0003677	4	LOC111119687	0
"DNA binding"	GO:0003677	4	LOC111119708	0
"DNA binding"	GO:0003677	4	LOC111119720	0
"DNA binding"	GO:0003677	4	LOC111119770	0
"DNA binding"	GO:0003677	4	LOC111119775	0
"DNA binding"	GO:0003677	4	LOC111119786	0
"DNA binding"	GO:0003677	4	LOC111119800	0
"DNA binding"	GO:0003677	4	LOC111119830	1
"DNA binding"	GO:0003677	4	LOC111119931	0
"DNA binding"	GO:0003677	4	LOC111120011	0
"DNA binding"	GO:0003677	4	LOC111120065	1
"DNA binding"	GO:0003677	4	LOC111120068	0
"DNA binding"	GO:0003677	4	LOC111120070	1
"DNA binding"	GO:0003677	4	LOC111120138	0
"DNA binding"	GO:0003677	4	LOC111120228	0
"DNA binding"	GO:0003677	4	LOC111120303	0
"DNA binding"	GO:0003677	4	LOC111120478	0
"DNA binding"	GO:0003677	4	LOC111120507	0
"DNA binding"	GO:0003677	4	LOC111120507	0
"DNA binding"	GO:0003677	4	LOC111120515	0
"DNA binding"	GO:0003677	4	LOC111120517	0
"DNA binding"	GO:0003677	4	LOC111120538	0
"DNA binding"	GO:0003677	4	LOC111120566	0
"DNA binding"	GO:0003677	4	LOC111120684	0
"DNA binding"	GO:0003677	4	LOC111120705	0
"DNA binding"	GO:0003677	4	LOC111120717	0
"DNA binding"	GO:0003677	4	LOC111120749	0
"DNA binding"	GO:0003677	4	LOC111120754	0
"DNA binding"	GO:0003677	4	LOC111120759	0
"DNA binding"	GO:0003677	4	LOC111120810	0
"DNA binding"	GO:0003677	4	LOC111120871	0
"DNA binding"	GO:0003677	4	LOC111120872	0
"DNA binding"	GO:0003677	4	LOC111120883	0
"DNA binding"	GO:0003677	4	LOC111120937	0
"DNA binding"	GO:0003677	4	LOC111121018	0
"DNA binding"	GO:0003677	4	LOC111121052	0
"DNA binding"	GO:0003677	4	LOC111121068	0
"DNA binding"	GO:0003677	4	LOC111121098	0
"DNA binding"	GO:0003677	4	LOC111121187	0
"DNA binding"	GO:0003677	4	LOC111121235	0
"DNA binding"	GO:0003677	4	LOC111121293	0
"DNA binding"	GO:0003677	4	LOC111121294	0
"DNA binding"	GO:0003677	4	LOC111121367	0
"DNA binding"	GO:0003677	4	LOC111121444	0
"DNA binding"	GO:0003677	4	LOC111121866	0
"DNA binding"	GO:0003677	4	LOC111121901	0
"DNA binding"	GO:0003677	4	LOC111121922	0
"DNA binding"	GO:0003677	4	LOC111122019	0
"DNA binding"	GO:0003677	4	LOC111122047	0
"DNA binding"	GO:0003677	4	LOC111122047	0
"DNA binding"	GO:0003677	4	LOC111122052	0
"DNA binding"	GO:0003677	4	LOC111122077	0
"DNA binding"	GO:0003677	4	LOC111122098	0
"DNA binding"	GO:0003677	4	LOC111122108	0
"DNA binding"	GO:0003677	4	LOC111122128	0
"DNA binding"	GO:0003677	4	LOC111122145	0
"DNA binding"	GO:0003677	4	LOC111122163	0
"DNA binding"	GO:0003677	4	LOC111122168	0
"DNA binding"	GO:0003677	4	LOC111122197	0
