"delta.rank" "pval" "level" "nseqs" "term" "name" "p.adj"
0 0.38125854126923 1 17 "GO:0000003" "reproduction" 0.973333333333333
0 0.791726423325734 2 37 "GO:0000278" "mitotic cell cycle" 0.923076923076923
0 1 3 8 "GO:0000902;GO:0009653" "cell morphogenesis" 1
0 0.230832605714068 1 65 "GO:0002376" "immune system process" 1
0 0.101278741918043 2 182 "GO:0005975" "carbohydrate metabolic process" 1
0 0.385234697424847 3 65 "GO:0006091" "generation of precursor metabolites and energy" 0.925
0 0.518344681966173 2 478 "GO:0006259;GO:0044260;GO:0090304" "nucleic acid metabolic process" 1
0 0.584267692196492 4 66 "GO:0006397;GO:0006396;GO:0016071" "RNA processing" 1
0 0.868993857868427 3 62 "GO:0006399;GO:0034660" "ncRNA metabolic process" 0.973809523809524
0 0.884810359095214 3 145 "GO:0006412;GO:0019538;GO:0034645;GO:0043043;GO:0009059;GO:0044249;GO:1901576;GO:0006518;GO:0043604;GO:1901566;GO:0043603;GO:0044271" "protein metabolic process" 0.965909090909091
0 0.489571154064443 2 21 "GO:0006457" "protein folding" 0.961904761904762
0 0.738779352335719 3 303 "GO:0006520;GO:0019752;GO:0043436;GO:0006082" "cellular amino acid metabolic process" 0.985294117647059
0 0.783271753587065 4 19 "GO:0006605;GO:0006886;GO:0015031;GO:0045184;GO:0071702;GO:0071705;GO:0008104;GO:0070727;GO:0033036" "protein targeting" 0.967567567567567
0 0.468339690303123 2 199 "GO:0006629" "lipid metabolic process" 0.935
0 0.929553555639427 3 54 "GO:0006790" "sulfur compound metabolic process" 0.976086956521739
0 1 4 21 "GO:0006913;GO:0051169" "nuclear transport" 1
0 0.648278719883573 2 13 "GO:0006914;GO:0061919" "autophagy" 0.983333333333333
0 0.370266220772978 2 200 "GO:0006950;GO:0050896" "response to stress" 1
0 0.832947961846097 4 294 "GO:0006996" "organelle organization" 0.94390243902439
0 0.895584792316133 2 48 "GO:0007005" "mitochondrion organization" 0.962222222222222
0 1 5 8 "GO:0007009" "plasma membrane organization" 1
0 0.137496380918302 5 144 "GO:0007010" "cytoskeleton organization" 0.916666666666667
0 1 4 6 "GO:0007034" "vacuolar transport" 1
0 0.266927089552512 2 103 "GO:0007049" "cell cycle" 1
0 1 2 28 "GO:0007059" "chromosome segregation" 1
0 0.874356859648969 2 158 "GO:0007155" "cell adhesion" 0.96046511627907
0 0.218858769340286 2 98 "GO:0007267;GO:0007154;GO:0023052" "cell-cell signaling" 1
0 0.773861510390118 2 141 "GO:0008219" "cell death" 1
0 0.38916803836875 2 29 "GO:0008283" "cell population proliferation" 0.882352941176471
0 0.60709131314605 2 269 "GO:0009056" "catabolic process" 0.985714285714286
0 0.586785762020327 2 11 "GO:0009790;GO:0007275" "embryo development" 0.974074074074074
0 0.784829754015083 2 128 "GO:0016070" "RNA metabolic process" 0.944736842105263
0 0.719291988219254 4 176 "GO:0016192" "vesicle-mediated transport" 0.987878787878788
0 0.0704848513609722 4 196 "GO:0022607;GO:0065003;GO:0043933" "cellular component assembly" 1
0 0.23754282224607 3 22 "GO:0022618;GO:0071826" "ribonucleoprotein complex assembly" 1
0 0.00423978514441892 3 28 "GO:0030154;GO:0048869" "cell differentiation" 0.1
0 0.121561235487877 3 8 "GO:0030705" "cytoskeleton-dependent intracellular transport" 0.92
0 0.36753876126025 1 28 "GO:0032501" "multicellular organismal process" 1
0 0.425717307892393 4 43 "GO:0034655;GO:0019439;GO:0044270;GO:0046700;GO:1901361;GO:0044248;GO:1901575" "cellular catabolic process" 0.922222222222222
0 0.585317199926872 1 25 "GO:0040007" "growth" 1
0 0.979932241556252 3 113 "GO:0042254;GO:0022613;GO:0044085" "ribosome biogenesis" 1
0 0.674940016622337 3 73 "GO:0042592;GO:0065008" "homeostatic process" 1
0 0.777524282335464 2 52 "GO:0046907;GO:0051641;GO:0051649" "intracellular transport" 0.983333333333333
0 0.586785762020327 2 11 "GO:0048646" "anatomical structure formation involved in morphogenesis" 0.974074074074074
0 0.10370762006202 2 94 "GO:0048856;GO:0032502" "developmental process" 1
0 0.61876364742625 2 12 "GO:0048870" "cell motility" 0.972413793103448
0 0.38125854126923 2 17 "GO:0050877;GO:0003008" "nervous system process" 0.973333333333333
0 0.82948046821325 -1 89 "GO:0051186" "obsolete cofactor metabolic process" 0.9625
0 0.997994173824757 2 104 "GO:0051276" "chromosome organization" 0.997916666666667
0 0.335533795352057 2 38 "GO:0051301" "cell division" 1
0 0.53914595779575 2 23 "GO:0051604" "protein maturation" 1
0 0.69386124312002 2 145 "GO:0055085" "transmembrane transport" 1
0 0.46356910784732 2 20 "GO:0061024" "membrane organization" 0.978947368421053
0 1 2 4 "GO:0071554" "cell wall organization or biogenesis" 1
0 1 6 13 "GO:0140014;GO:0000280;GO:1903047;GO:0048285;GO:0022402" "nuclear division" 1
