"delta.rank" "pval" "level" "nseqs" "term" "name" "p.adj"
0 0.232610751041317 6 43 "GO:0000228" "nuclear chromosome" 0.514285714285714
0 0.771492516940862 2 111 "GO:0005576" "extracellular region" 0.883333333333333
0 1 2 11 "GO:0005615" "extracellular space" 1
0 0.490466883438525 -1 21 "GO:0005623" "obsolete cell" 0.658333333333333
0 1 3 14 "GO:0005635;GO:0031967;GO:0031975" "organelle envelope" 1
0 0.618409458055919 2 82 "GO:0005654" "nucleoplasm" 0.693333333333333
0 0.564221258879692 2 144 "GO:0005694" "chromosome" 0.657142857142857
0 0.86782589230484 3 25 "GO:0005730" "nucleolus" 0.885
0 0.514346439667903 2 217 "GO:0005737" "cytoplasm" 0.623076923076923
0 0.414737697660535 2 117 "GO:0005739" "mitochondrion" 0.72
0 1 3 7 "GO:0005764;GO:0000323;GO:0005773" "vacuole" 1
0 0.0947852783362631 2 23 "GO:0005768" "endosome" 0.3
0 0.676500686872992 5 14 "GO:0005777;GO:0042579" "microbody" 0.747058823529412
0 0.408463978379745 5 42 "GO:0005783" "endoplasmic reticulum" 0.8
0 0.0335998716588674 5 50 "GO:0005794" "Golgi apparatus" 0.4
0 0.658059614017453 2 43 "GO:0005815" "microtubule organizing center" 0.71875
0 0.0868933578197362 2 14 "GO:0005829" "cytosol" 0.4
0 0.425779786451488 3 118 "GO:0005840" "ribosome" 0.663636363636364
0 0.221824973893344 3 291 "GO:0005856" "cytoskeleton" 0.583333333333333
0 0.355819930802975 3 186 "GO:0005886;GO:0016020" "plasma membrane" 0.775
0 0.044192485053087 3 26 "GO:0005929;GO:0120025;GO:0042995" "cilium" 0.25
0 0.816821333695917 2 21 "GO:0030312;GO:0031012" "external encapsulating structure" 0.873684210526316
0 0.129075796862083 6 66 "GO:0031410;GO:0097708;GO:0031982" "cytoplasmic vesicle" 0.3
