"delta.rank" "pval" "level" "nseqs" "term" "name" "p.adj"
0 0.619263896965398 2 43 "GO:0000228" "nuclear chromosome" 0.861538461538461
0 0.96843732878381 2 110 "GO:0005576" "extracellular region" 0.96
0 0.188565676180229 2 11 "GO:0005615" "extracellular space" 0.725
0 0.798447568118715 -1 21 "GO:0005623" "obsolete cell" 0.794444444444445
0 0.655273171453761 3 14 "GO:0005635;GO:0031967;GO:0031975" "organelle envelope" 0.814285714285714
0 0.730117579596521 2 82 "GO:0005654" "nucleoplasm" 0.80625
0 0.735916415607581 3 143 "GO:0005694" "chromosome" 0.764705882352941
0 0.030688456512899 5 25 "GO:0005730" "nucleolus" 0.3
0 0.219816998706913 2 217 "GO:0005737" "cytoplasm" 0.66
0 0.873460918474253 5 117 "GO:0005739" "mitochondrion" 0.88421052631579
0 1 2 7 "GO:0005764;GO:0000323;GO:0005773" "vacuole" 1
0 0.232371587850296 7 23 "GO:0005768" "endosome" 0.666666666666667
0 0.271885390173364 2 14 "GO:0005777;GO:0042579" "peroxisome" 0.5875
0 0.602869600979868 3 42 "GO:0005783" "endoplasmic reticulum" 0.916666666666667
0 0.501842026925044 2 50 "GO:0005794" "Golgi apparatus" 0.9
0 0.00284503426232061 2 43 "GO:0005815" "microtubule organizing center" 0
0 0.271885390173364 2 14 "GO:0005829" "cytosol" 0.5875
0 0.979975944047468 5 118 "GO:0005840" "ribosome" 0.942857142857143
0 0.66175623306621 5 291 "GO:0005856" "cytoskeleton" 0.766666666666667
0 0.494615932595904 3 186 "GO:0005886;GO:0016020" "plasma membrane" 1
0 0.576956808846486 3 26 "GO:0005929;GO:0120025;GO:0042995" "plasma membrane bounded cell projection" 0.981818181818182
0 1 2 21 "GO:0030312;GO:0031012" "external encapsulating structure" 1
0 0.101238930848609 4 66 "GO:0031410;GO:0097708;GO:0031982" "vesicle" 0.633333333333333
