"delta.rank" "pval" "level" "nseqs" "term" "name" "p.adj"
0 0.281258668627776 4 494 "GO:0003677" "DNA binding" 0.52
0 0.25922796107384 2 219 "GO:0003700;GO:0140110" "DNA-binding transcription factor activity" 0.507142857142857
0 0.00553592975023721 2 179 "GO:0003723" "RNA binding" 0.1
0 1 2 9 "GO:0003729" "mRNA binding" 1
0 0.132188394805725 2 80 "GO:0003735" "structural constituent of ribosome" 0.633333333333333
0 0.460553053676216 2 47 "GO:0004386;GO:0140640;GO:0140657" "helicase activity" 0.783333333333333
0 0.0802531014787826 4 72 "GO:0004518" "nuclease activity" 0.46
0 0.245846188073155 1 142 "GO:0005198" "structural molecule activity" 0.546153846153846
0 0.151071003527438 2 361 "GO:0005515" "protein binding" 0.5375
0 0.195309348995285 2 184 "GO:0008092" "cytoskeletal protein binding" 0.545454545454545
0 0.0666947708294671 2 6 "GO:0008134" "transcription factor binding" 0.45
0 0.711879083746717 4 33 "GO:0008135;GO:0090079;GO:0045182" "translation factor activity, RNA binding" 0.830769230769231
0 0.045909192195515 3 85 "GO:0008168;GO:0016741" "transferase activity, transferring one-carbon groups" 0.6
0 0.382139291087895 2 342 "GO:0008233;GO:0140096" "catalytic activity, acting on a protein" 0.725
0 0.503833521346642 2 131 "GO:0008289" "lipid binding" 0.775
0 0.62647534876545 2 465 "GO:0016301;GO:0016772" "transferase activity, transferring phosphorus-containing groups" 0.895454545454545
0 0.76875147158387 2 424 "GO:0016491" "oxidoreductase activity" 0.827586206896552
0 0.914699933816715 3 73 "GO:0016746" "acyltransferase activity" 0.915625
0 0.149245483398109 3 188 "GO:0016757" "glycosyltransferase activity" 0.6
0 0.767627394366446 3 19 "GO:0016765" "transferase activity, transferring alkyl or aryl (other than methyl) groups" 0.857142857142857
0 0.4425287590395 4 59 "GO:0016779" "nucleotidyltransferase activity" 0.817647058823529
0 0.195192022636548 3 221 "GO:0016791;GO:0042578;GO:0016788" "hydrolase activity, acting on ester bonds" 0.6
0 0.875841710896911 2 66 "GO:0016798" "hydrolase activity, acting on glycosyl bonds" 0.893548387096774
0 0.502299620909467 2 36 "GO:0016810" "hydrolase activity, acting on carbon-nitrogen (but not peptide) bonds" 0.815789473684211
0 0.770583800118905 2 70 "GO:0016829" "lyase activity" 0.803333333333333
0 0.973332208982654 2 47 "GO:0016853" "isomerase activity" 0.932352941176471
0 0.669319505628433 2 61 "GO:0016874" "ligase activity" 0.866666666666667
0 0.166896241291569 2 73 "GO:0016887" "ATP hydrolysis activity" 0.566666666666667
0 0.757448678326898 2 190 "GO:0017111;GO:0016462;GO:0016818;GO:0016817;GO:0003924" "ribonucleoside triphosphate phosphatase activity" 0.862962962962963
0 0.0467010787712765 4 5 "GO:0019843" "rRNA binding" 0.4
0 0.536426713844966 2 148 "GO:0019899" "enzyme binding" 0.766666666666667
0 0.664214645570667 2 528 "GO:0022857;GO:0005215" "transmembrane transporter activity" 0.895652173913044
0 0.950037527927531 2 156 "GO:0030234;GO:0098772" "enzyme regulator activity" 0.936363636363636
0 0.220108549121563 2 12 "GO:0032182" "ubiquitin-like protein binding" 0.558333333333333
0 0.70725857591333 2 16 "GO:0051082" "unfolded protein binding" 0.864
