"delta.rank" "pval" "level" "nseqs" "term" "name" "p.adj"
0 0.343067479826261 2 491 "GO:0003677" "DNA binding" 0.8875
0 0.399785511196454 2 226 "GO:0003700;GO:0140110" "DNA-binding transcription factor activity" 0.966666666666667
0 0.662110371376774 2 175 "GO:0003723" "RNA binding" 1
0 1 3 11 "GO:0003729" "mRNA binding" 1
0 1 2 78 "GO:0003735" "structural constituent of ribosome" 1
0 1 2 42 "GO:0004386;GO:0140640;GO:0140657" "helicase activity" 1
0 0.0757049069631201 4 76 "GO:0004518" "nuclease activity" 1
0 0.194805865670289 1 135 "GO:0005198" "structural molecule activity" 0.766666666666667
0 0.903717568824241 2 367 "GO:0005515" "protein binding" 1
0 1 2 186 "GO:0008092" "cytoskeletal protein binding" 1
0 1 3 6 "GO:0008134" "transcription factor binding" 1
0 1 4 34 "GO:0008135;GO:0090079;GO:0045182" "translation factor activity, RNA binding" 1
0 1 2 77 "GO:0008168;GO:0016741" "methyltransferase activity" 1
0 0.33241077255004 2 337 "GO:0008233;GO:0140096" "catalytic activity, acting on a protein" 0.971428571428571
0 1 2 117 "GO:0008289" "lipid binding" 1
0 0.950019167681533 4 463 "GO:0016301;GO:0016772" "transferase activity, transferring phosphorus-containing groups" 1
0 0.237171099847681 2 416 "GO:0016491" "oxidoreductase activity" 0.75
0 1 3 61 "GO:0016746" "acyltransferase activity" 1
0 0.686963742283614 3 187 "GO:0016757" "glycosyltransferase activity" 0.976923076923077
0 1 2 18 "GO:0016765" "transferase activity, transferring alkyl or aryl (other than methyl) groups" 1
0 1 4 57 "GO:0016779" "nucleotidyltransferase activity" 1
0 0.129692668765802 4 210 "GO:0016791;GO:0042578;GO:0016788" "hydrolase activity, acting on ester bonds" 0.85
0 1 3 56 "GO:0016798" "hydrolase activity, acting on glycosyl bonds" 1
0 1 3 29 "GO:0016810" "hydrolase activity, acting on carbon-nitrogen (but not peptide) bonds" 1
0 1 2 73 "GO:0016829" "lyase activity" 1
0 1 2 44 "GO:0016853" "isomerase activity" 1
0 1 2 57 "GO:0016874" "ligase activity" 1
0 0.331657223461818 2 66 "GO:0016887" "ATP hydrolysis activity" 1
0 0.303384777483194 5 183 "GO:0017111;GO:0016462;GO:0016818;GO:0016817;GO:0003924" "pyrophosphatase activity" 1
0 1 4 5 "GO:0019843" "rRNA binding" 1
0 0.614020343111757 3 154 "GO:0019899" "enzyme binding" 1
0 0.965977814288533 2 518 "GO:0022857;GO:0005215" "transmembrane transporter activity" 0.99375
0 0.63073338758548 2 161 "GO:0030234;GO:0098772" "enzyme regulator activity" 1
0 1 2 6 "GO:0030674;GO:0060090" "protein-macromolecule adaptor activity" 1
0 1 2 11 "GO:0032182" "ubiquitin-like protein binding" 1
0 1 3 16 "GO:0051082" "unfolded protein binding" 1
