"delta.rank" "pval" "level" "nseqs" "term" "name" "p.adj"
0 0.479215041286363 4 494 "GO:0003677" "DNA binding" 0.957142857142857
0 0.64005570040855 2 219 "GO:0003700;GO:0140110" "DNA-binding transcription factor activity" 1
0 0.642250515282535 2 179 "GO:0003723" "RNA binding" 0.965
0 0.51684395567527 2 9 "GO:0003729" "mRNA binding" 0.858823529411765
0 0.87905296797793 2 80 "GO:0003735" "structural constituent of ribosome" 0.982142857142857
0 0.483484485360412 2 46 "GO:0004386;GO:0140640;GO:0140657" "helicase activity" 0.906666666666667
0 0.102181035166622 2 72 "GO:0004518" "nuclease activity" 0.5
0 0.970229578075847 1 142 "GO:0005198" "structural molecule activity" 0.970967741935484
0 0.128568164619175 2 361 "GO:0005515" "protein binding" 0.45
0 0.352459945579115 2 184 "GO:0008092" "cytoskeletal protein binding" 0.836363636363636
0 0.384143216116374 2 6 "GO:0008134" "transcription factor binding" 0.875
0 1 3 33 "GO:0008135;GO:0090079;GO:0045182" "translation factor activity, RNA binding" 1
0 0.800880279221872 2 85 "GO:0008168;GO:0016741" "methyltransferase activity" 0.996
0 0.801627903760553 2 342 "GO:0008233;GO:0140096" "catalytic activity, acting on a protein" 0.957692307692308
0 0.315577666812519 2 131 "GO:0008289" "lipid binding" 0.75
0 0.887534001936845 3 464 "GO:0016301;GO:0016772" "transferase activity, transferring phosphorus-containing groups" 0.926666666666667
0 0.301669839078986 2 424 "GO:0016491" "oxidoreductase activity" 0.9
0 0.504132210624093 2 73 "GO:0016746" "acyltransferase activity" 0.8875
0 0.711647470807278 2 188 "GO:0016757" "glycosyltransferase activity" 0.936363636363636
0 0.440105220498362 2 19 "GO:0016765" "transferase activity, transferring alkyl or aryl (other than methyl) groups" 0.969230769230769
0 0.306294708127826 3 59 "GO:0016779" "nucleotidyltransferase activity" 0.822222222222222
0 0.189579561092353 5 221 "GO:0016791;GO:0042578;GO:0016788" "hydrolase activity, acting on ester bonds" 0.542857142857143
0 0.0290700611234931 2 66 "GO:0016798" "hydrolase activity, acting on glycosyl bonds" 0.5
0 0.78128618699973 2 36 "GO:0016810" "hydrolase activity, acting on carbon-nitrogen (but not peptide) bonds" 1
0 0.0416249657361414 2 70 "GO:0016829" "lyase activity" 0.3
0 1 2 47 "GO:0016853" "isomerase activity" 1
0 0.708252625343014 2 61 "GO:0016874" "ligase activity" 0.966666666666667
0 0.829849412330147 2 73 "GO:0016887" "ATP hydrolysis activity" 0.951851851851852
0 0.884444680900787 5 190 "GO:0017111;GO:0016462;GO:0016818;GO:0016817;GO:0003924" "ribonucleoside triphosphate phosphatase activity" 0.951724137931034
0 1 3 5 "GO:0019843" "rRNA binding" 1
0 0.10697248657837 3 148 "GO:0019899" "enzyme binding" 0.42
0 0.0496804844273686 2 528 "GO:0022857;GO:0005215" "transmembrane transporter activity" 0.266666666666667
0 0.548030792841375 2 155 "GO:0030234;GO:0098772" "enzyme regulator activity" 0.905555555555556
0 1 2 12 "GO:0032182" "ubiquitin-like protein binding" 1
0 0.725950940686952 3 16 "GO:0051082" "unfolded protein binding" 0.921739130434783
