gene,binary
LOC111126949,0
LOC111113860,0
LOC111109753,0
LOC111109452,0
LOC111124802,0
LOC111101273,0
LOC111101250,0
LOC111101262,0
LOC111133260,0
LOC111102393,0
LOC111119377,0
LOC111101799,0
LOC111117672,0
LOC111102064,0
LOC111112773,0
LOC111114201,0
LOC111114212,0
LOC111138315,0
LOC111138321,0
LOC111108878,0
LOC111108901,1
LOC111130095,0
LOC111103204,0
LOC111103224,0
LOC111116497,0
LOC111134965,1
LOC111111519,0
LOC111136780,0
LOC111136794,0
LOC111133372,0
LOC111118844,0
LOC111137104,0
LOC111105880,0
LOC111135933,0
LOC111114430,0
LOC111135210,0
LOC111113958,0
LOC111103230,0
LOC111101640,0
LOC111103171,0
LOC111119406,0
LOC111102448,0
LOC111113346,0
LOC111100652,0
LOC111134791,0
LOC111128971,1
LOC111104153,0
LOC111134573,0
LOC111121733,0
LOC111109754,0
LOC111109763,1
LOC111109745,0
LOC111132126,0
LOC111099207,0
LOC111132349,0
LOC111132366,0
LOC111103463,0
LOC111131721,0
LOC111131752,0
LOC111131766,0
LOC111131682,1
LOC111128103,0
LOC111100985,0
LOC111103238,0
LOC111103245,0
LOC111112387,0
LOC111114799,0
LOC111129446,1
LOC111136873,0
LOC111099831,0
LOC111123745,0
LOC111105302,0
LOC111137770,1
LOC111134776,0
LOC111134153,0
LOC111136481,1
LOC111119489,0
LOC111133651,0
LOC111105807,0
LOC111119833,0
LOC111116296,0
LOC111119754,0
LOC111126076,0
LOC111111995,0
LOC111101827,0
LOC111125333,0
LOC111115748,0
LOC111124850,0
LOC111101169,0
LOC111101139,0
LOC111102578,0
LOC111108648,0
LOC111135567,0
LOC111127966,0
LOC111113361,0
LOC111109243,1
LOC111124729,1
LOC111121476,0
LOC111121537,0
LOC111121565,0
LOC111121511,0
LOC111130705,1
LOC111111523,0
LOC111122419,0
LOC111104573,1
LOC111103358,0
LOC111103323,0
LOC111103397,0
LOC111103418,0
LOC111106983,0
LOC111127416,0
LOC111102085,1
LOC111100606,0
LOC111100615,0
LOC111137796,1
LOC111137367,0
LOC111105370,0
LOC111105035,0
LOC111131375,0
LOC111121096,0
LOC111112007,0
LOC111134598,0
LOC111135077,0
LOC111125571,0
LOC111125589,0
LOC111099659,0
LOC111128222,0
LOC111128306,0
LOC111100637,0
LOC111111564,1
LOC111132592,0
LOC111132666,0
LOC111132603,1
LOC111132570,0
LOC111132626,0
LOC111132648,0
LOC111130831,0
LOC111121419,0
LOC111137561,0
LOC111110225,0
LOC111125887,0
LOC111125896,0
LOC111125882,0
LOC111127890,0
LOC111127317,0
LOC111128784,0
LOC111130848,0
LOC111123891,0
LOC111110267,0
LOC111137833,0
LOC111111488,1
LOC111130870,1
LOC111129292,0
LOC111127104,0
LOC111100578,0
LOC111104267,0
LOC111130876,0
LOC111101103,0
LOC111120718,0
LOC111100468,0
LOC111130886,0
LOC111099410,0
LOC111109848,0
LOC111109839,0
LOC111109321,0
LOC111113745,0
LOC111134162,0
LOC111109628,0
LOC111103508,0
LOC111137420,0
LOC111137407,0
LOC111111015,0
LOC111100511,0
LOC111111357,0
LOC111101857,0
LOC111114229,0
LOC111129231,0
LOC111119081,0
LOC111123731,0
LOC111102556,0
LOC111100957,0
LOC111118371,0
LOC111130926,0
LOC111130935,0
LOC111115104,0
LOC111100011,0
LOC111100027,0
LOC111127903,0
LOC111120471,0
LOC111105410,0
LOC111105859,0
LOC111135084,0
LOC111123961,0
LOC111123922,0
LOC111101216,1
LOC111108835,0
LOC111109398,0
LOC111109472,0
LOC111100372,0
LOC111137060,0
LOC111137068,0
LOC111134266,0
LOC111114134,0
LOC111132223,0
LOC111132259,0
LOC111132242,0
LOC111132269,0
LOC111132215,0
LOC111132290,0
LOC111138481,0
LOC111138488,0
LOC111137818,0
LOC111126382,0
LOC111126441,0
LOC111126395,0
LOC111126874,0
LOC111138463,0
LOC111114939,0
LOC111137635,1
