GO:0006520	GO:0019752	GO:0043436	GO:0006082	GO:0006629	GO:0009056	GO:0007010	GO:0006996	GO:0022607	GO:0048870	GO:0007267	GO:0007154	GO:0023052	GO:0008219	GO:0051276	GO:0055085	GO:0006950	GO:0050896	GO:0006259	GO:0044260	GO:0090304	GO:0006412	GO:0019538	GO:0034645	GO:0043043	GO:0009059	GO:0044249	GO:0006518	GO:0043604	GO:1901566	GO:1901576	GO:0043603	GO:0044271	GO:0042254	GO:0022613	GO:0044085	GO:0007155	GO:0006457	GO:0065003	GO:0043933	GO:0006091	GO:0051186	GO:0022618	GO:0071826	GO:0040007	GO:0048856	GO:0032502	GO:0016192	GO:0006790	GO:0005975	GO:0002376	GO:0000278	GO:0007049	GO:0007059	GO:0140014	GO:0000280	GO:1903047	GO:0048285	GO:0022402	GO:0008283	GO:0051604	GO:0030705	GO:0046907	GO:0051641	GO:0051649	GO:0006397	GO:0006396	GO:0016071	GO:0016070	GO:0051301	GO:0034655	GO:0019439	GO:0044270	GO:0046700	GO:1901361	GO:0044248	GO:1901575	GO:0006913	GO:0051169	GO:0030154	GO:0048869	GO:0006399	GO:0034660	GO:0042592	GO:0065008	GO:0071554	GO:0061024	GO:0007005	GO:0007034	GO:0006914	GO:0061919	GO:0009790	GO:0007275	GO:0032501	GO:0000003	GO:0048646	GO:0006605	GO:0006886	GO:0015031	GO:0045184	GO:0071702	GO:0071705	GO:0008104	GO:0070727	GO:0033036	GO:0007009	GO:0050877	GO:0003008	GO:0000902	GO:0009653
0.000	-0.111	-0.111	-0.111	0.845	0.692	0.868	0.827	0.877	0.889	0.889	0.889	0.889	0.883	0.856	0.868	0.848	0.848	0.853	0.801	0.800	0.818	0.818	0.818	0.818	0.818	0.818	0.818	0.818	0.818	0.818	0.818	0.818	0.886	0.886	0.886	0.877	0.883	0.883	0.883	0.830	0.798	0.889	0.889	0.889	0.886	0.886	0.880	0.839	0.830	0.877	0.877	0.865	0.889	0.889	0.889	0.889	0.889	0.889	0.889	0.889	0.889	0.889	0.889	0.889	0.883	0.883	0.883	0.812	0.886	0.883	0.883	0.883	0.883	0.883	0.883	0.883	0.889	0.889	0.889	0.889	0.818	0.818	0.877	0.877	0.877	0.889	0.889	0.889	0.889	0.889	0.889	0.889	0.889	0.889	0.889	0.889	0.889	0.889	0.889	0.889	0.889	0.889	0.889	0.889	0.889	0.889	0.889	0.889	0.889
-0.111	0.000	-0.111	-0.111	0.845	0.692	0.868	0.827	0.877	0.889	0.889	0.889	0.889	0.883	0.856	0.868	0.848	0.848	0.853	0.801	0.800	0.818	0.818	0.818	0.818	0.818	0.818	0.818	0.818	0.818	0.818	0.818	0.818	0.886	0.886	0.886	0.877	0.883	0.883	0.883	0.830	0.798	0.889	0.889	0.889	0.886	0.886	0.880	0.839	0.830	0.877	0.877	0.865	0.889	0.889	0.889	0.889	0.889	0.889	0.889	0.889	0.889	0.889	0.889	0.889	0.883	0.883	0.883	0.812	0.886	0.883	0.883	0.883	0.883	0.883	0.883	0.883	0.889	0.889	0.889	0.889	0.818	0.818	0.877	0.877	0.877	0.889	0.889	0.889	0.889	0.889	0.889	0.889	0.889	0.889	0.889	0.889	0.889	0.889	0.889	0.889	0.889	0.889	0.889	0.889	0.889	0.889	0.889	0.889	0.889
-0.111	-0.111	0.000	-0.111	0.845	0.692	0.868	0.827	0.877	0.889	0.889	0.889	0.889	0.883	0.856	0.868	0.848	0.848	0.853	0.801	0.800	0.818	0.818	0.818	0.818	0.818	0.818	0.818	0.818	0.818	0.818	0.818	0.818	0.886	0.886	0.886	0.877	0.883	0.883	0.883	0.830	0.798	0.889	0.889	0.889	0.886	0.886	0.880	0.839	0.830	0.877	0.877	0.865	0.889	0.889	0.889	0.889	0.889	0.889	0.889	0.889	0.889	0.889	0.889	0.889	0.883	0.883	0.883	0.812	0.886	0.883	0.883	0.883	0.883	0.883	0.883	0.883	0.889	0.889	0.889	0.889	0.818	0.818	0.877	0.877	0.877	0.889	0.889	0.889	0.889	0.889	0.889	0.889	0.889	0.889	0.889	0.889	0.889	0.889	0.889	0.889	0.889	0.889	0.889	0.889	0.889	0.889	0.889	0.889	0.889
-0.111	-0.111	-0.111	0.000	0.845	0.692	0.868	0.827	0.877	0.889	0.889	0.889	0.889	0.883	0.856	0.868	0.848	0.848	0.853	0.801	0.800	0.818	0.818	0.818	0.818	0.818	0.818	0.818	0.818	0.818	0.818	0.818	0.818	0.886	0.886	0.886	0.877	0.883	0.883	0.883	0.830	0.798	0.889	0.889	0.889	0.886	0.886	0.880	0.839	0.830	0.877	0.877	0.865	0.889	0.889	0.889	0.889	0.889	0.889	0.889	0.889	0.889	0.889	0.889	0.889	0.883	0.883	0.883	0.812	0.886	0.883	0.883	0.883	0.883	0.883	0.883	0.883	0.889	0.889	0.889	0.889	0.818	0.818	0.877	0.877	0.877	0.889	0.889	0.889	0.889	0.889	0.889	0.889	0.889	0.889	0.889	0.889	0.889	0.889	0.889	0.889	0.889	0.889	0.889	0.889	0.889	0.889	0.889	0.889	0.889
0.845	0.845	0.845	0.845	0.000	0.705	0.961	0.947	0.956	0.975	0.961	0.961	0.961	0.975	0.961	0.956	0.928	0.928	0.941	0.929	0.926	0.946	0.946	0.946	0.946	0.946	0.946	0.946	0.946	0.946	0.946	0.946	0.946	0.970	0.970	0.970	0.966	0.975	0.966	0.966	0.936	0.852	0.980	0.980	0.980	0.970	0.970	0.961	0.936	0.828	0.961	0.961	0.961	0.975	0.980	0.980	0.980	0.980	0.980	0.980	0.980	0.980	0.980	0.980	0.980	0.980	0.980	0.980	0.941	0.975	0.956	0.956	0.956	0.956	0.956	0.956	0.956	0.980	0.980	0.975	0.975	0.941	0.941	0.966	0.966	0.966	0.975	0.975	0.980	0.980	0.980	0.980	0.980	0.980	0.980	0.980	0.980	0.980	0.980	0.980	0.980	0.980	0.980	0.980	0.980	0.980	0.980	0.980	0.980	0.980
0.692	0.692	0.692	0.692	0.705	0.000	0.917	0.783	0.917	0.934	0.931	0.931	0.931	0.927	0.896	0.913	0.865	0.865	0.847	0.855	0.847	0.906	0.903	0.906	0.906	0.906	0.906	0.906	0.906	0.906	0.906	0.906	0.906	0.931	0.931	0.931	0.924	0.931	0.927	0.927	0.823	0.823	0.931	0.931	0.931	0.931	0.931	0.913	0.892	0.792	0.920	0.920	0.910	0.931	0.934	0.934	0.934	0.934	0.934	0.934	0.931	0.934	0.931	0.931	0.931	0.917	0.917	0.917	0.889	0.927	0.823	0.823	0.823	0.823	0.823	0.778	0.823	0.931	0.931	0.934	0.934	0.906	0.906	0.917	0.917	0.927	0.934	0.837	0.934	0.889	0.889	0.934	0.934	0.934	0.934	0.934	0.934	0.934	0.934	0.934	0.934	0.934	0.934	0.934	0.934	0.934	0.934	0.934	0.934	0.934
0.868	0.868	0.868	0.868	0.961	0.917	0.000	0.490	0.692	0.952	0.979	0.979	0.979	0.959	0.945	0.940	0.938	0.938	0.952	0.949	0.941	0.973	0.973	0.973	0.973	0.973	0.973	0.973	0.973	0.973	0.973	0.973	0.973	0.966	0.966	0.966	0.863	0.986	0.760	0.760	0.945	0.890	0.986	0.986	0.945	0.904	0.877	0.966	0.959	0.962	0.959	0.911	0.781	0.979	0.966	0.966	0.966	0.966	0.966	0.979	0.986	0.986	0.973	0.973	0.973	0.979	0.979	0.979	0.952	0.959	0.973	0.973	0.973	0.973	0.973	0.966	0.973	0.979	0.979	0.952	0.952	0.959	0.959	0.979	0.979	0.979	0.979	0.986	0.979	0.979	0.979	0.918	0.918	0.918	0.986	0.986	0.986	0.986	0.986	0.986	0.986	0.986	0.986	0.986	0.986	0.986	0.986	0.986	0.959	0.959
0.827	0.827	0.827	0.827	0.947	0.783	0.490	0.000	0.688	0.954	0.961	0.961	0.961	0.944	0.612	0.931	0.836	0.836	0.822	0.844	0.832	0.964	0.957	0.964	0.964	0.964	0.964	0.964	0.964	0.964	0.964	0.964	0.964	0.961	0.961	0.961	0.901	0.967	0.789	0.789	0.951	0.921	0.967	0.967	0.951	0.931	0.918	0.954	0.957	0.947	0.954	0.931	0.836	0.901	0.928	0.928	0.928	0.928	0.928	0.964	0.964	0.970	0.941	0.941	0.941	0.954	0.954	0.954	0.941	0.957	0.964	0.964	0.964	0.964	0.964	0.961	0.964	0.967	0.967	0.954	0.954	0.957	0.957	0.888	0.888	0.967	0.957	0.812	0.967	0.967	0.967	0.938	0.938	0.938	0.944	0.970	0.947	0.947	0.947	0.947	0.947	0.947	0.947	0.947	0.947	0.970	0.970	0.970	0.957	0.957
0.877	0.877	0.877	0.877	0.956	0.917	0.692	0.688	0.000	0.975	0.985	0.985	0.985	0.960	0.843	0.944	0.928	0.928	0.952	0.952	0.906	0.985	0.985	0.985	0.985	0.985	0.985	0.985	0.985	0.985	0.985	0.985	0.985	0.975	0.975	0.975	0.965	0.975	0.283	0.283	0.965	0.919	0.879	0.879	0.985	0.970	0.970	0.939	0.944	0.955	0.965	0.955	0.843	0.955	0.975	0.975	0.975	0.975	0.975	0.985	0.990	0.980	0.975	0.975	0.975	0.909	0.909	0.909	0.889	0.970	0.980	0.980	0.980	0.980	0.980	0.975	0.980	0.985	0.985	0.985	0.985	0.970	0.970	0.975	0.975	0.985	0.949	0.970	0.990	0.985	0.985	0.990	0.990	0.980	0.970	0.990	0.990	0.990	0.990	0.990	0.990	0.990	0.990	0.990	0.990	0.965	0.980	0.980	0.990	0.990
0.889	0.889	0.889	0.889	0.975	0.934	0.952	0.954	0.975	0.000	0.990	0.990	0.990	0.993	0.963	0.967	0.962	0.962	0.967	0.962	0.953	0.992	0.993	0.992	0.992	0.992	0.992	0.992	0.992	0.992	0.992	0.992	0.992	1.000	1.000	1.000	0.981	1.000	0.986	0.986	0.929	0.864	1.000	1.000	1.000	0.970	0.979	0.994	0.931	0.978	0.956	0.949	0.981	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	0.970	1.000	0.938	0.938	0.938	0.938	0.938	0.956	0.938	1.000	1.000	0.929	0.929	0.939	0.939	0.987	0.987	0.917	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000
