GO:0005737	GO:0005654	GO:0005856	GO:0005840	GO:0005783	GO:0005739	GO:0005623	GO:0005815	GO:0005929	GO:0120025	GO:0042995	GO:0005576	GO:0005694	GO:0005730	GO:0005768	GO:0031410	GO:0097708	GO:0031982	GO:0005829	GO:0005886	GO:0016020	GO:0030312	GO:0005764	GO:0000323	GO:0005773	GO:0031012	GO:0000228	GO:0005615	GO:0005777	GO:0042579	GO:0005635	GO:0031967	GO:0031975	GO:0005794
0.000	0.964	0.810	0.973	0.855	0.982	0.959	0.973	0.941	0.941	0.941	0.977	0.918	0.959	0.986	0.986	0.986	0.986	0.986	0.977	0.977	0.977	0.982	0.982	0.982	0.982	0.982	0.986	0.982	0.982	0.986	0.986	0.986	0.982
0.964	0.000	0.908	0.917	0.943	0.940	0.897	0.943	0.943	0.943	0.943	0.946	0.810	0.851	0.943	0.931	0.931	0.931	0.943	0.957	0.957	0.920	0.943	0.943	0.943	0.920	0.828	0.943	0.931	0.931	0.931	0.931	0.931	0.920
0.810	0.908	0.000	0.911	0.924	0.911	0.911	0.924	0.892	0.892	0.892	0.914	0.851	0.902	0.911	0.911	0.911	0.911	0.924	0.905	0.905	0.921	0.924	0.924	0.924	0.921	0.921	0.924	0.921	0.921	0.924	0.924	0.924	0.924
0.973	0.917	0.911	0.000	0.983	0.883	0.950	0.967	0.983	0.983	0.983	0.958	0.892	0.933	0.983	0.983	0.983	0.983	0.975	0.979	0.979	0.975	0.983	0.983	0.983	0.975	0.975	0.983	0.975	0.975	0.983	0.983	0.983	0.950
0.855	0.943	0.924	0.983	0.000	1.000	0.905	1.000	1.000	1.000	1.000	0.991	0.905	0.857	1.000	1.000	1.000	1.000	1.000	0.995	0.995	0.976	1.000	1.000	1.000	0.976	0.977	1.000	0.976	0.976	1.000	1.000	1.000	1.000
0.982	0.940	0.911	0.883	1.000	0.000	0.966	0.991	1.000	1.000	1.000	0.974	0.880	0.949	1.000	1.000	1.000	1.000	0.983	0.989	0.989	0.991	1.000	1.000	1.000	0.991	0.983	1.000	0.991	0.991	1.000	1.000	1.000	0.991
0.959	0.897	0.911	0.950	0.905	0.966	0.000	0.907	0.654	0.654	0.654	0.955	0.880	0.677	0.840	0.939	0.939	0.939	0.800	0.973	0.973	0.800	0.840	0.840	0.840	0.800	0.886	0.840	0.800	0.800	0.840	0.840	0.840	0.920
0.973	0.943	0.924	0.967	1.000	0.991	0.907	0.000	0.767	0.767	0.767	0.991	0.905	0.860	1.000	1.000	1.000	1.000	1.000	0.995	0.995	0.977	1.000	1.000	1.000	0.977	0.977	1.000	0.977	0.977	1.000	1.000	1.000	1.000
0.941	0.943	0.892	0.983	1.000	1.000	0.654	0.767	0.000	0.000	0.000	0.991	0.905	0.806	1.000	1.000	1.000	1.000	0.962	0.995	0.995	0.962	1.000	1.000	1.000	0.962	0.977	1.000	0.962	0.962	1.000	1.000	1.000	1.000
0.941	0.943	0.892	0.983	1.000	1.000	0.654	0.767	0.000	0.000	0.000	0.991	0.905	0.806	1.000	1.000	1.000	1.000	0.962	0.995	0.995	0.962	1.000	1.000	1.000	0.962	0.977	1.000	0.962	0.962	1.000	1.000	1.000	1.000
0.941	0.943	0.892	0.983	1.000	1.000	0.654	0.767	0.000	0.000	0.000	0.991	0.905	0.806	1.000	1.000	1.000	1.000	0.962	0.995	0.995	0.962	1.000	1.000	1.000	0.962	0.977	1.000	0.962	0.962	1.000	1.000	1.000	1.000
0.977	0.946	0.914	0.958	0.991	0.974	0.955	0.991	0.991	0.991	0.991	0.000	0.899	0.937	0.991	0.982	0.982	0.982	0.991	0.979	0.979	0.982	0.991	0.991	0.991	0.982	0.982	0.991	0.982	0.982	0.991	0.991	0.991	0.982
0.918	0.810	0.851	0.892	0.905	0.880	0.880	0.905	0.905	0.905	0.905	0.899	0.000	0.823	0.905	0.905	0.905	0.905	0.905	0.904	0.904	0.899	0.905	0.905	0.905	0.899	0.627	0.892	0.899	0.899	0.905	0.905	0.905	0.905
0.959	0.851	0.902	0.933	0.857	0.949	0.677	0.860	0.806	0.806	0.806	0.937	0.823	0.000	0.806	0.909	0.909	0.909	0.806	0.957	0.957	0.774	0.806	0.806	0.806	0.774	0.773	0.774	0.774	0.774	0.806	0.806	0.806	0.880
0.986	0.943	0.911	0.983	1.000	1.000	0.840	1.000	1.000	1.000	1.000	0.991	0.905	0.806	0.000	0.652	0.652	0.652	1.000	0.995	0.995	0.957	1.000	1.000	1.000	0.957	0.977	1.000	0.957	0.957	1.000	1.000	1.000	0.940
0.986	0.931	0.911	0.983	1.000	1.000	0.939	1.000	1.000	1.000	1.000	0.982	0.905	0.909	0.652	0.000	0.000	0.000	1.000	0.957	0.957	0.985	1.000	1.000	1.000	0.985	0.985	1.000	0.985	0.985	1.000	1.000	1.000	0.697
0.986	0.931	0.911	0.983	1.000	1.000	0.939	1.000	1.000	1.000	1.000	0.982	0.905	0.909	0.652	0.000	0.000	0.000	1.000	0.957	0.957	0.985	1.000	1.000	1.000	0.985	0.985	1.000	0.985	0.985	1.000	1.000	1.000	0.697
0.986	0.931	0.911	0.983	1.000	1.000	0.939	1.000	1.000	1.000	1.000	0.982	0.905	0.909	0.652	0.000	0.000	0.000	1.000	0.957	0.957	0.985	1.000	1.000	1.000	0.985	0.985	1.000	0.985	0.985	1.000	1.000	1.000	0.697
0.986	0.943	0.924	0.975	1.000	0.983	0.800	1.000	0.962	0.962	0.962	0.991	0.905	0.806	1.000	1.000	1.000	1.000	0.000	0.989	0.989	0.955	1.000	1.000	1.000	0.952	0.977	1.000	0.933	0.933	1.000	1.000	1.000	1.000
0.977	0.957	0.905	0.979	0.995	0.989	0.973	0.995	0.995	0.995	0.995	0.979	0.904	0.957	0.995	0.957	0.957	0.957	0.989	0.000	-0.005	0.989	0.984	0.984	0.984	0.989	0.989	0.995	0.989	0.989	0.989	0.989	0.989	0.957
0.977	0.957	0.905	0.979	0.995	0.989	0.973	0.995	0.995	0.995	0.995	0.979	0.904	0.957	0.995	0.957	0.957	0.957	0.989	-0.005	0.000	0.989	0.984	0.984	0.984	0.989	0.989	0.995	0.989	0.989	0.989	0.989	0.989	0.957
0.977	0.920	0.921	0.975	0.976	0.991	0.800	0.977	0.962	0.962	0.962	0.982	0.899	0.774	0.957	0.985	0.985	0.985	0.955	0.989	0.989	0.000	0.909	0.909	0.909	0.000	0.955	0.955	0.909	0.909	0.955	0.955	0.955	0.980
0.982	0.943	0.924	0.983	1.000	1.000	0.840	1.000	1.000	1.000	1.000	0.991	0.905	0.806	1.000	1.000	1.000	1.000	1.000	0.984	0.984	0.909	0.000	0.000	0.286	0.952	0.977	1.000	0.933	0.933	1.000	1.000	1.000	1.000
0.982	0.943	0.924	0.983	1.000	1.000	0.840	1.000	1.000	1.000	1.000	0.991	0.905	0.806	1.000	1.000	1.000	1.000	1.000	0.984	0.984	0.909	0.000	0.000	0.286	0.952	0.977	1.000	0.933	0.933	1.000	1.000	1.000	1.000
0.982	0.943	0.924	0.983	1.000	1.000	0.840	1.000	1.000	1.000	1.000	0.991	0.905	0.806	1.000	1.000	1.000	1.000	1.000	0.984	0.984	0.909	0.286	0.286	0.000	0.952	0.977	1.000	0.933	0.933	1.000	1.000	1.000	1.000
0.982	0.920	0.921	0.975	0.976	0.991	0.800	0.977	0.962	0.962	0.962	0.982	0.899	0.774	0.957	0.985	0.985	0.985	0.952	0.989	0.989	0.000	0.952	0.952	0.952	0.000	0.955	0.952	0.905	0.905	0.952	0.952	0.952	0.980
0.982	0.828	0.921	0.975	0.977	0.983	0.886	0.977	0.977	0.977	0.977	0.982	0.627	0.773	0.977	0.985	0.985	0.985	0.977	0.989	0.989	0.955	0.977	0.977	0.977	0.955	0.000	0.955	0.955	0.955	0.977	0.977	0.977	0.980
0.986	0.943	0.924	0.983	1.000	1.000	0.840	1.000	1.000	1.000	1.000	0.991	0.892	0.774	1.000	1.000	1.000	1.000	1.000	0.995	0.995	0.955	1.000	1.000	1.000	0.952	0.955	0.000	0.933	0.933	1.000	1.000	1.000	1.000
0.982	0.931	0.921	0.975	0.976	0.991	0.800	0.977	0.962	0.962	0.962	0.982	0.899	0.774	0.957	0.985	0.985	0.985	0.933	0.989	0.989	0.909	0.933	0.933	0.933	0.905	0.955	0.933	0.000	-0.067	0.933	0.933	0.933	0.980
0.982	0.931	0.921	0.975	0.976	0.991	0.800	0.977	0.962	0.962	0.962	0.982	0.899	0.774	0.957	0.985	0.985	0.985	0.933	0.989	0.989	0.909	0.933	0.933	0.933	0.905	0.955	0.933	-0.067	0.000	0.933	0.933	0.933	0.980
0.986	0.931	0.924	0.983	1.000	1.000	0.840	1.000	1.000	1.000	1.000	0.991	0.905	0.806	1.000	1.000	1.000	1.000	1.000	0.989	0.989	0.955	1.000	1.000	1.000	0.952	0.977	1.000	0.933	0.933	0.000	0.000	0.000	1.000
0.986	0.931	0.924	0.983	1.000	1.000	0.840	1.000	1.000	1.000	1.000	0.991	0.905	0.806	1.000	1.000	1.000	1.000	1.000	0.989	0.989	0.955	1.000	1.000	1.000	0.952	0.977	1.000	0.933	0.933	0.000	0.000	0.000	1.000
0.986	0.931	0.924	0.983	1.000	1.000	0.840	1.000	1.000	1.000	1.000	0.991	0.905	0.806	1.000	1.000	1.000	1.000	1.000	0.989	0.989	0.955	1.000	1.000	1.000	0.952	0.977	1.000	0.933	0.933	0.000	0.000	0.000	1.000
0.982	0.920	0.924	0.950	1.000	0.991	0.920	1.000	1.000	1.000	1.000	0.982	0.905	0.880	0.940	0.697	0.697	0.697	1.000	0.957	0.957	0.980	1.000	1.000	1.000	0.980	0.980	1.000	0.980	0.980	1.000	1.000	1.000	0.000
