GO:0016791	GO:0042578	GO:0016788	GO:0008168	GO:0016741	GO:0030234	GO:0098772	GO:0016746	GO:0022857	GO:0005215	GO:0008289	GO:0016491	GO:0008233	GO:0140096	GO:0008092	GO:0005515	GO:0003735	GO:0005198	GO:0003700	GO:0140110	GO:0003723	GO:0019899	GO:0003677	GO:0016887	GO:0017111	GO:0016462	GO:0016818	GO:0016817	GO:0016757	GO:0016810	GO:0016301	GO:0016772	GO:0016874	GO:0003924	GO:0032182	GO:0016829	GO:0016779	GO:0019843	GO:0016853	GO:0016765	GO:0016798	GO:0004386	GO:0140640	GO:0140657	GO:0008135	GO:0090079	GO:0045182	GO:0004518	GO:0051082	GO:0008134	GO:0003729
0.000	-0.139	0.193	0.838	0.838	0.844	0.844	0.838	0.935	0.935	0.850	0.893	0.784	0.787	0.817	0.894	0.861	0.850	0.866	0.866	0.838	0.838	0.867	0.723	0.700	0.700	0.700	0.700	0.795	0.832	0.872	0.859	0.838	0.728	0.861	0.838	0.769	0.861	0.855	0.850	0.861	0.832	0.832	0.832	0.861	0.861	0.861	0.838	0.861	0.861	0.861
-0.139	0.000	0.193	0.838	0.838	0.844	0.844	0.838	0.935	0.935	0.850	0.893	0.784	0.787	0.817	0.894	0.861	0.850	0.866	0.866	0.838	0.838	0.867	0.723	0.700	0.700	0.700	0.700	0.795	0.832	0.872	0.859	0.838	0.728	0.861	0.838	0.769	0.861	0.855	0.850	0.861	0.832	0.832	0.832	0.861	0.861	0.861	0.838	0.861	0.861	0.861
0.193	0.193	0.000	0.871	0.871	0.871	0.871	0.871	0.922	0.922	0.871	0.879	0.772	0.774	0.843	0.880	0.871	0.859	0.859	0.859	0.791	0.871	0.845	0.787	0.695	0.695	0.695	0.695	0.791	0.863	0.854	0.843	0.871	0.795	0.888	0.871	0.823	0.888	0.884	0.880	0.888	0.867	0.867	0.867	0.888	0.888	0.888	0.582	0.888	0.888	0.888
0.838	0.838	0.871	0.000	-0.045	0.955	0.955	0.910	0.970	0.970	0.955	0.928	0.835	0.836	0.962	0.970	0.955	0.958	0.960	0.960	0.914	0.954	0.896	0.711	0.785	0.785	0.785	0.785	0.893	0.876	0.913	0.896	0.888	0.807	0.955	0.899	0.787	0.955	0.921	0.921	0.944	0.899	0.899	0.899	0.955	0.955	0.955	0.910	0.955	0.955	0.955
0.838	0.838	0.871	-0.045	0.000	0.955	0.955	0.910	0.970	0.970	0.955	0.928	0.835	0.836	0.962	0.970	0.955	0.958	0.960	0.960	0.914	0.954	0.896	0.711	0.785	0.785	0.785	0.785	0.893	0.876	0.913	0.896	0.888	0.807	0.955	0.899	0.787	0.955	0.921	0.921	0.944	0.899	0.899	0.899	0.955	0.955	0.955	0.910	0.955	0.955	0.955
0.844	0.844	0.871	0.955	0.955	0.000	-0.013	0.955	0.968	0.968	0.968	0.926	0.825	0.826	0.978	0.935	0.968	0.955	0.946	0.946	0.946	0.879	0.898	0.834	0.789	0.789	0.789	0.789	0.898	0.955	0.918	0.900	0.962	0.834	0.987	0.962	0.892	0.987	0.981	0.975	0.981	0.955	0.955	0.955	0.987	0.987	0.987	0.955	0.981	0.987	0.987
0.844	0.844	0.871	0.955	0.955	-0.013	0.000	0.955	0.968	0.968	0.968	0.926	0.825	0.826	0.978	0.935	0.968	0.955	0.946	0.946	0.946	0.879	0.898	0.834	0.789	0.789	0.789	0.789	0.898	0.955	0.918	0.900	0.962	0.834	0.987	0.962	0.892	0.987	0.981	0.975	0.981	0.955	0.955	0.955	0.987	0.987	0.987	0.955	0.981	0.987	0.987
0.838	0.838	0.871	0.910	0.910	0.955	0.955	0.000	0.974	0.974	0.955	0.924	0.837	0.839	0.962	0.965	0.925	0.938	0.955	0.955	0.941	0.947	0.900	0.711	0.785	0.785	0.785	0.785	0.888	0.844	0.909	0.892	0.870	0.807	0.948	0.883	0.753	0.948	0.935	0.909	0.922	0.883	0.883	0.883	0.935	0.935	0.935	0.896	0.948	0.948	0.948
0.935	0.935	0.922	0.970	0.970	0.968	0.968	0.974	0.000	-0.019	0.963	0.901	0.866	0.866	0.972	0.955	0.965	0.955	0.942	0.942	0.952	0.970	0.848	0.879	0.836	0.836	0.836	0.836	0.933	0.968	0.905	0.877	0.974	0.939	0.981	0.970	0.954	0.978	0.980	0.976	0.976	0.967	0.967	0.967	0.980	0.980	0.980	0.968	0.980	0.980	0.980
0.935	0.935	0.922	0.970	0.970	0.968	0.968	0.974	-0.019	0.000	0.963	0.901	0.866	0.866	0.972	0.955	0.965	0.955	0.942	0.942	0.952	0.970	0.848	0.879	0.836	0.836	0.836	0.836	0.933	0.968	0.905	0.877	0.974	0.939	0.981	0.970	0.954	0.978	0.980	0.976	0.976	0.967	0.967	0.967	0.980	0.980	0.980	0.968	0.980	0.980	0.980
0.850	0.850	0.871	0.955	0.955	0.968	0.968	0.955	0.963	0.963	0.000	0.935	0.842	0.844	0.946	0.954	0.977	0.965	0.933	0.933	0.941	0.954	0.893	0.805	0.793	0.793	0.793	0.793	0.898	0.947	0.911	0.894	0.955	0.821	0.977	0.955	0.872	0.985	0.970	0.970	0.985	0.947	0.947	0.947	0.977	0.977	0.977	0.940	0.985	0.985	0.985
0.893	0.893	0.879	0.928	0.928	0.926	0.926	0.924	0.901	0.901	0.935	0.000	0.805	0.805	0.942	0.928	0.944	0.937	0.922	0.922	0.917	0.937	0.845	0.893	0.841	0.841	0.841	0.841	0.893	0.935	0.855	0.841	0.928	0.897	0.949	0.940	0.913	0.949	0.931	0.942	0.944	0.937	0.937	0.937	0.944	0.944	0.944	0.935	0.949	0.949	0.946
0.784	0.784	0.772	0.835	0.835	0.825	0.825	0.837	0.866	0.866	0.842	0.805	0.000	-0.141	0.842	0.820	0.845	0.840	0.835	0.835	0.830	0.835	0.795	0.784	0.727	0.727	0.727	0.727	0.799	0.832	0.779	0.781	0.837	0.789	0.840	0.837	0.810	0.847	0.842	0.842	0.847	0.835	0.835	0.835	0.847	0.847	0.847	0.835	0.847	0.847	0.847
0.787	0.787	0.774	0.836	0.836	0.826	0.826	0.839	0.866	0.866	0.844	0.805	-0.141	0.000	0.844	0.814	0.846	0.841	0.836	0.836	0.831	0.836	0.795	0.787	0.730	0.730	0.730	0.730	0.801	0.834	0.776	0.779	0.839	0.792	0.841	0.839	0.811	0.849	0.844	0.844	0.849	0.836	0.836	0.836	0.849	0.849	0.849	0.836	0.849	0.849	0.849
0.817	0.817	0.843	0.962	0.962	0.978	0.978	0.962	0.972	0.972	0.946	0.942	0.842	0.844	0.000	0.477	0.984	0.892	0.964	0.964	0.952	0.925	0.898	0.839	0.709	0.709	0.709	0.709	0.907	0.962	0.909	0.892	0.968	0.780	0.984	0.968	0.909	0.984	0.984	0.978	0.989	0.919	0.919	0.919	0.984	0.984	0.984	0.962	0.989	0.989	0.989
0.894	0.894	0.880	0.970	0.970	0.935	0.935	0.965	0.955	0.955	0.954	0.928	0.820	0.814	0.477	0.000	0.975	0.924	0.962	0.962	0.956	0.572	0.874	0.907	0.801	0.801	0.801	0.801	0.932	0.970	0.884	0.871	0.970	0.877	0.951	0.973	0.943	0.981	0.981	0.978	0.978	0.948	0.948	0.948	0.978	0.978	0.978	0.970	0.940	0.967	0.984
