GO:0048856;GO:0032502	GO:0009056	GO:0006605;GO:0006886;GO:0015031;GO:0045184;GO:0071702;GO:0071705;GO:0008104;GO:0070727;GO:0033036	GO:0000278	GO:0071554	GO:0006399;GO:0034660	GO:0051301	GO:0006629	GO:0051604	GO:0022607;GO:0065003;GO:0043933	GO:0006996	GO:0032501	GO:0006412;GO:0019538;GO:0034645;GO:0043043;GO:0009059;GO:0044249;GO:1901576;GO:0006518;GO:0043604;GO:1901566;GO:0043603;GO:0044271	GO:0051276	GO:0007155	GO:0042592;GO:0065008	GO:0006914;GO:0061919	GO:0007009	GO:0016192	GO:0006091	GO:0006913;GO:0051169	GO:0048646	GO:0040007	GO:0007010	GO:0007059	GO:0030705	GO:0042254;GO:0022613;GO:0044085	GO:0008283	GO:0007005	GO:0002376	GO:0007267;GO:0007154;GO:0023052	GO:0006790	GO:0022618;GO:0071826	GO:0000003	GO:0050877;GO:0003008	GO:0006520;GO:0019752;GO:0043436;GO:0006082	GO:0048870	GO:0016070	GO:0009790;GO:0007275	GO:0046907;GO:0051641;GO:0051649	GO:0140014;GO:0000280;GO:1903047;GO:0048285;GO:0022402	GO:0006457	GO:0006950;GO:0050896	GO:0008219	GO:0000902;GO:0009653	GO:0007034	GO:0005975	GO:0051186	GO:0030154;GO:0048869	GO:0061024	GO:0034655;GO:0019439;GO:0044270;GO:0046700;GO:1901361;GO:0044248;GO:1901575	GO:0055085	GO:0006397;GO:0006396;GO:0016071	GO:0007049	GO:0006259;GO:0044260;GO:0090304
0	0.787	1.000	0.949	0.800	0.939	1.000	0.936	0.957	0.936	0.734	0.500	0.979	0.957	0.798	0.986	1.000	1.000	0.979	0.929	1.000	0.000	0.920	0.809	1.000	1.000	1.000	0.897	1.000	0.941	0.840	0.931	1.000	0.824	0.824	0.585	0.833	0.957	0.000	1.000	1.000	0.952	0.894	0.936	0.000	1.000	0.957	0.840	0.000	0.950	0.956	0.936	1.000	0.957	0.894
0.787	0	0.000	0.410	-3.200	0.591	0.447	0.581	0.130	0.879	0.771	0.321	0.808	0.722	0.863	0.676	-1.462	-1.375	0.859	0.271	0.048	-0.727	0.200	0.836	0.286	-1.375	0.823	0.345	0.021	0.662	0.796	0.466	0.091	-0.118	-0.118	0.635	-0.583	0.758	-0.727	0.615	-0.462	0.048	0.812	0.852	-1.375	-2.167	0.677	0.505	0.321	0.050	-0.422	0.833	0.636	0.752	0.802
1.000	0.000	0	0.842	0.800	0.789	1.000	0.789	0.895	0.895	0.158	1.000	0.842	0.789	0.842	0.947	1.000	1.000	0.947	0.737	1.000	1.000	1.000	0.895	1.000	1.000	1.000	1.000	0.632	0.842	1.000	0.789	1.000	1.000	1.000	-1.000	1.000	0.789	1.000	0.000	1.000	1.000	0.579	0.947	1.000	0.667	0.789	0.263	1.000	0.947	0.895	0.368	1.000	0.842	0.526
0.949	0.410	0.842	0	0.400	0.846	0.447	0.795	0.870	0.769	0.462	0.929	0.897	0.846	0.872	0.923	0.846	0.750	0.846	0.795	0.905	0.818	0.920	0.667	0.893	0.750	0.949	0.931	0.923	0.872	0.949	0.846	0.909	0.882	0.882	-0.077	0.833	0.846	0.818	0.923	0.846	0.905	0.615	0.923	0.750	0.667	0.821	0.564	0.929	0.850	0.872	0.795	0.949	-0.051	0.590
0.800	-3.200	0.800	0.400	0	0.000	0.800	-0.400	0.800	0.400	-1.000	0.800	0.600	0.000	0.200	0.600	0.800	0.800	0.600	-0.200	0.800	0.800	0.800	0.400	0.800	0.800	0.800	0.800	0.800	0.000	0.800	0.000	0.800	0.800	0.800	-7.400	0.800	0.000	0.800	0.800	0.800	0.800	-1.000	0.600	0.800	0.800	0.000	-2.000	0.800	0.800	0.400	-0.200	0.800	0.400	-1.200
0.939	0.591	0.789	0.846	0.000	0	0.895	0.818	0.826	0.909	0.803	0.857	0.621	0.879	0.879	0.909	0.692	0.500	0.924	0.788	0.810	0.636	0.840	0.909	0.857	0.500	0.939	0.862	0.917	0.894	0.909	0.828	0.818	0.765	0.765	0.061	0.667	-0.061	0.636	0.923	0.692	0.810	0.788	0.924	0.500	0.333	0.803	0.636	0.857	0.800	0.867	0.818	0.939	0.909	-0.136
1.000	0.447	1.000	0.447	0.800	0.895	0	0.868	0.957	0.842	0.658	1.000	0.947	0.895	0.921	0.974	0.846	1.000	0.842	0.868	1.000	1.000	1.000	0.842	0.893	1.000	1.000	1.000	1.000	0.921	1.000	0.895	1.000	1.000	1.000	-0.026	1.000	0.895	1.000	1.000	1.000	1.000	0.737	0.947	1.000	1.000	0.895	0.632	1.000	1.000	0.895	0.868	1.000	0.158	0.684
0.936	0.581	0.789	0.795	-0.400	0.818	0.868	0	0.826	0.955	0.921	0.857	0.925	0.926	0.957	0.905	0.692	0.500	0.955	0.814	0.810	0.636	0.840	0.945	0.821	0.500	0.947	0.862	0.896	0.882	0.918	0.776	0.818	0.765	0.765	0.739	0.583	0.909	0.636	0.923	0.692	0.762	0.926	0.965	0.500	0.333	0.812	0.709	0.821	0.750	0.800	0.940	0.939	0.924	0.887
0.957	0.130	0.895	0.870	0.800	0.826	0.957	0.826	0	0.913	0.522	1.000	-0.043	0.826	0.870	0.957	0.923	1.000	0.913	0.783	1.000	1.000	1.000	0.913	1.000	1.000	1.000	1.000	0.913	0.870	0.957	0.826	1.000	1.000	1.000	-0.652	1.000	0.826	1.000	0.913	1.000	1.000	0.652	0.957	1.000	1.000	0.826	0.391	1.000	1.000	0.870	0.783	1.000	0.783	0.565
0.936	0.879	0.895	0.769	0.400	0.909	0.842	0.955	0.913	0	0.520	0.857	0.979	0.713	0.957	0.932	0.769	0.125	0.932	0.900	0.857	0.818	0.880	0.582	0.679	0.500	0.956	0.897	0.875	0.897	0.969	0.810	-0.091	0.647	0.765	0.788	0.583	0.833	0.818	0.904	0.615	0.762	0.924	0.944	0.750	0.667	0.952	0.845	0.893	0.500	0.889	0.927	0.727	0.705	0.859
