GO:0005886;GO:0016020	GO:0005739	GO:0005929;GO:0120025;GO:0042995	GO:0031410;GO:0097708;GO:0031982	GO:0005815	GO:0005840	GO:0000228	GO:0005764;GO:0000323;GO:0005773	GO:0005623	GO:0005856	GO:0005694	GO:0005654	GO:0005615	GO:0005768	GO:0005730	GO:0030312;GO:0031012	GO:0005777;GO:0042579	GO:0005783	GO:0005737	GO:0005576	GO:0005794	GO:0005635;GO:0031967;GO:0031975	GO:0005829
0	0.983	0.962	0.879	0.977	0.967	0.955	0.571	0.800	0.840	0.886	0.908	0.909	0.957	0.742	0.909	0.867	0.976	0.973	0.964	0.840	0.857	0.857
0.983	0	1.000	1.000	0.977	0.880	0.955	1.000	0.840	0.761	0.838	0.920	1.000	1.000	0.806	0.955	0.933	1.000	0.966	0.973	0.980	1.000	0.857
0.962	1.000	0	1.000	0.615	0.923	0.962	1.000	0.640	-0.308	0.423	0.808	1.000	1.000	0.769	0.955	0.933	1.000	0.500	0.962	1.000	1.000	0.929
0.879	1.000	1.000	0	1.000	0.970	0.977	1.000	0.840	0.576	0.773	0.909	1.000	0.000	0.806	0.955	0.933	1.000	0.955	0.970	0.600	1.000	1.000
0.977	0.977	0.615	1.000	0	0.907	0.977	1.000	0.840	0.442	0.651	0.884	1.000	1.000	0.806	0.955	0.933	1.000	0.860	0.977	1.000	1.000	1.000
0.967	0.880	0.923	0.970	0.907	0	0.932	0.714	0.760	0.767	0.858	0.885	0.818	0.913	0.742	0.864	0.800	0.952	0.950	0.955	0.880	0.857	0.786
0.955	0.955	0.962	0.977	0.977	0.932	0	0.857	0.800	0.432	-0.341	0.659	0.818	0.957	0.677	0.909	0.867	0.976	0.909	0.955	0.977	0.929	0.929
0.571	1.000	1.000	1.000	1.000	0.714	0.857	0	0.429	-2.429	-1.143	0.286	1.000	1.000	0.143	0.714	0.857	1.000	0.429	0.857	1.000	1.000	1.000
0.800	0.840	0.640	0.840	0.840	0.760	0.800	0.429	0	-0.120	0.240	0.640	0.636	0.826	0.600	0.773	0.667	0.840	0.640	0.800	0.840	0.714	0.643
0.840	0.761	-0.308	0.576	0.442	0.767	0.432	-2.429	-0.120	0	0.703	0.667	-1.182	-0.217	0.000	-0.136	-0.667	0.429	0.727	0.757	0.520	-0.714	-0.714
0.886	0.838	0.423	0.773	0.651	0.858	-0.341	-1.143	0.240	0.703	0	0.655	-0.545	0.348	0.097	0.273	-0.067	0.643	0.886	0.856	0.700	-0.071	-0.071
0.908	0.920	0.808	0.909	0.884	0.885	0.659	0.286	0.640	0.667	0.655	0	0.545	0.783	0.581	0.682	0.600	0.881	0.908	0.931	0.860	0.571	0.643
0.909	1.000	1.000	1.000	1.000	0.818	0.818	1.000	0.636	-1.182	-0.545	0.545	0	1.000	0.364	0.909	0.909	1.000	0.727	0.909	1.000	1.000	1.000
0.957	1.000	1.000	0.000	1.000	0.913	0.957	1.000	0.826	-0.217	0.348	0.783	1.000	0	0.739	0.955	0.933	1.000	0.870	0.957	0.870	1.000	1.000
0.742	0.806	0.769	0.806	0.806	0.742	0.677	0.143	0.600	0.000	0.097	0.581	0.364	0.739	0	0.682	0.533	0.806	0.710	0.774	0.806	0.571	0.571
0.909	0.955	0.955	0.955	0.955	0.864	0.909	0.714	0.773	-0.136	0.273	0.682	0.909	0.955	0.682	0	0.867	0.955	0.773	0.909	0.955	0.929	0.929
0.867	0.933	0.933	0.933	0.933	0.800	0.867	0.857	0.667	-0.667	-0.067	0.600	0.909	0.933	0.533	0.867	0	0.933	0.733	0.867	0.933	0.929	0.929
0.976	1.000	1.000	1.000	1.000	0.952	0.976	1.000	0.840	0.429	0.643	0.881	1.000	1.000	0.806	0.955	0.933	0	0.238	0.976	1.000	1.000	1.000
0.973	0.966	0.500	0.955	0.860	0.950	0.909	0.429	0.640	0.727	0.886	0.908	0.727	0.870	0.710	0.773	0.733	0.238	0	0.955	0.920	0.786	0.786
0.964	0.973	0.962	0.970	0.977	0.955	0.955	0.857	0.800	0.757	0.856	0.931	0.909	0.957	0.774	0.909	0.867	0.976	0.955	0	0.960	0.929	0.929
0.840	0.980	1.000	0.600	1.000	0.880	0.977	1.000	0.840	0.520	0.700	0.860	1.000	0.870	0.806	0.955	0.933	1.000	0.920	0.960	0	1.000	1.000
0.857	1.000	1.000	1.000	1.000	0.857	0.929	1.000	0.714	-0.714	-0.071	0.571	1.000	1.000	0.571	0.929	0.929	1.000	0.786	0.929	1.000	0	1.000
0.857	0.857	0.929	1.000	1.000	0.786	0.929	1.000	0.643	-0.714	-0.071	0.643	1.000	1.000	0.571	0.929	0.929	1.000	0.786	0.929	1.000	1.000	0
