GO:0008135;GO:0090079;GO:0045182	GO:0016887	GO:0004518	GO:0004386;GO:0140640;GO:0140657	GO:0016791;GO:0042578;GO:0016788	GO:0016779	GO:0016757	GO:0003723	GO:0016798	GO:0022857;GO:0005215	GO:0016829	GO:0016853	GO:0008168;GO:0016741	GO:0019899	GO:0051082	GO:0005198	GO:0005515	GO:0003735	GO:0032182	GO:0030234;GO:0098772	GO:0016491	GO:0016765	GO:0003677	GO:0008134	GO:0008233;GO:0140096	GO:0017111;GO:0016462;GO:0016818;GO:0016817;GO:0003924	GO:0019843	GO:0008289	GO:0016874	GO:0016810	GO:0016301;GO:0016772	GO:0008092	GO:0003729	GO:0003700;GO:0140110	GO:0016746
0	0.273	0.879	0.848	0.273	0.545	0.455	0.697	1.000	0.667	0.879	0.970	0.879	0.879	1.000	0.879	0.758	0.939	1.000	0.939	0.242	0.905	-0.485	1.000	-0.848	-0.515	1.000	0.909	0.848	0.818	-0.030	0.909	0.556	0.848	0.848
0.273	0	0.618	0.176	0.495	0.473	0.567	0.670	0.636	0.330	0.622	0.479	0.685	0.722	-0.500	0.732	0.649	0.700	-1.000	0.732	0.505	-0.238	0.113	-3.000	0.113	-0.485	-3.800	0.732	0.554	0.293	0.423	0.691	-1.667	0.701	0.636
0.879	0.618	0	0.824	-0.316	0.743	0.645	0.632	0.939	0.776	0.892	0.896	0.895	0.908	0.750	0.855	0.855	0.895	0.667	0.908	0.618	0.714	0.224	0.333	0.132	0.316	0.200	0.895	0.877	0.756	0.474	0.908	0.556	0.868	0.895
0.848	0.176	0.824	0	0.431	0.608	0.569	0.686	0.902	0.647	0.824	0.875	0.824	0.843	0.688	0.824	0.627	0.902	0.583	0.863	0.451	0.667	-0.235	0.167	-0.294	-0.569	0.000	0.863	0.824	0.756	0.255	0.706	0.444	0.804	0.824
0.273	0.495	-0.316	0.431	0	0.459	0.766	0.741	0.636	0.845	0.622	0.479	0.685	0.815	-0.500	0.785	0.837	0.650	-1.000	0.822	0.796	-0.238	0.673	-3.000	0.645	0.696	-3.800	0.789	0.569	0.268	0.751	0.812	-1.667	0.862	0.636
0.545	0.473	0.743	0.608	0.459	0	0.568	0.703	0.773	0.662	0.743	0.667	0.743	0.757	0.062	0.770	0.716	0.797	-0.250	0.770	0.473	0.190	-0.257	-1.500	-0.027	0.162	-2.000	0.770	0.708	0.512	-0.432	0.770	-0.667	0.730	0.743
0.455	0.567	0.645	0.569	0.766	0.568	0	0.849	0.682	0.824	0.716	0.604	0.753	0.861	-0.125	0.861	0.878	0.775	-0.417	0.866	0.766	0.048	0.649	-1.833	0.610	0.683	-2.400	0.842	0.600	0.390	0.741	0.898	-0.889	0.883	0.701
0.697	0.670	0.632	0.686	0.741	0.703	0.849	0	0.909	0.859	0.865	0.708	0.820	0.940	0.625	0.854	0.914	0.787	0.333	0.936	0.800	0.619	0.659	-0.167	0.632	0.703	-1.200	0.917	0.785	0.659	0.762	0.951	-0.667	0.930	0.857
1.000	0.636	0.939	0.902	0.636	0.773	0.682	0.909	0	0.803	0.939	0.958	0.924	0.939	0.938	0.970	0.879	1.000	1.000	0.955	0.621	0.857	0.212	1.000	0.076	0.288	1.000	0.970	0.938	0.854	0.500	0.970	1.000	0.924	0.909
0.667	0.330	0.776	0.647	0.845	0.662	0.824	0.859	0.803	0	0.784	0.771	0.820	0.894	0.312	0.833	0.935	0.762	0.167	0.892	0.881	0.381	0.848	-0.833	0.821	0.629	-1.400	0.850	0.785	0.585	0.897	0.919	-0.222	0.862	0.818
